fid,lat,lon,Annual_WS,Annual_WD
"419",37.626,127.073,2.67,298.98
"420",37.626,127.084,2.69,294.07
"421",37.626,127.096,2.68,289.45
"422",37.635,127.073,2.62,299.22
"423",37.635,127.084,2.65,298.92
"424",37.635,127.096,2.72,301.13
"425",37.635,127.108,2.73,297.53
"426",37.644,127.073,2.58,300.77
"427",37.644,127.085,2.63,307.5
"428",37.644,127.096,2.84,313.41
"429",37.644,127.108,2.78,305.12
"430",37.645,127.061,2.58,300.47
"431",37.654,127.062,2.62,303.96
"432",37.654,127.073,2.57,304.68
"433",37.654,127.085,2.7,323.75
"434",37.663,127.062,2.68,312.18
"435",37.663,127.073,2.57,312.24
"436",37.663,127.085,2.86,331.49
"437",37.672,127.062,2.76,324.44
"438",37.672,127.073,2.76,324.13
"439",37.672,127.085,2.96,323.13
"440",37.681,127.062,2.99,333.73
"441",37.681,127.074,3.18,337.96
"442",37.681,127.085,3.28,327.82
"443",37.691,127.062,3.14,332.74
"444",37.691,127.074,3.52,345.12
"445",37.69,127.085,3.96,325.24
"446",37.582,126.886,3.4,290.94
"447",37.582,126.897,3.37,297.19
"448",37.6,126.921,3.25,317.58
"449",37.6,126.933,3.28,335.79
"450",37.6,126.944,3.34,334.06
"451",37.609,126.921,3.22,319.37
"452",37.609,126.933,3.25,350.77
"453",37.609,126.944,3.39,349.12
"454",37.618,126.909,3.19,298.2
"455",37.618,126.921,3.13,321.34
"456",37.628,126.91,3.29,293.88
"457",37.627,126.921,3.27,308.07
"458",37.618,126.933,3.25,7
"459",37.618,126.944,3.69,0.15
"460",37.627,126.933,3.31,24.08
"461",37.627,126.945,3.88,16.72
"462",37.609,126.909,3.18,297.84
"463",37.591,126.921,3.27,318.44
"464",37.59,126.932,3.34,330.95
"465",37.6,126.909,3.23,303.26
"466",37.591,126.909,3.24,308.66
"467",37.581,126.909,3.33,302.83
"468",37.627,126.956,4.56,346.43
"469",37.637,126.921,3.3,269.69
"470",37.637,126.933,3.25,141.84
"471",37.637,126.945,3.54,88.73
"472",37.636,126.956,4.26,0.6
"473",37.646,126.933,3.03,203.09
"474",37.646,126.945,3.16,142.18
"475",37.646,126.956,3.65,127.12
"476",37.655,126.945,2.98,162.88
"477",37.572,126.944,3.47,334.6
"478",37.572,126.955,3.49,322.93
"479",37.544,126.943,3.42,307.83
"480",37.563,126.955,3.32,319.43
"481",37.581,126.944,3.57,334.09
"482",37.581,126.955,3.69,318.86
"483",37.59,126.944,3.48,325.39
"484",37.59,126.956,3.66,315
