fid,매우양호,양호,약간양호,약간불량,불량,매우불량,기타,총면적
170,685997.543,230833.161,11120.248,76336.202,0,13250.412,0,1017537.566
171,468496.60599999997,244448.248,73679.66100000001,94247.136,37593.53,96116.60200000001,0,1014581.7829999998
172,100285.16699999999,157629.557,204278.676,507737.763,1204.068,62687.553,0,1033822.7839999999
173,0,644658.957,0,415166.577,0,0,0,1059825.534
174,0,808212.552,0,246219.349,0,18882.157,0,1073314.058
175,0,828516.197,0,245575.853,0,0,0,1074092.05
176,0,700466.683,15690.197,100294.609,0,190693.75199999998,0,1007145.241
177,2036.052,387919.923,0,170142.464,0,50242.509,0,610340.948
178,744728.307,169243.578,71335.49,19912.673,0,0,0,1005220.048
179,883276.538,132881.34100000001,0,0,0,0,0,1016157.879
180,265104.797,481023.95,36650.454,222864.589,0,322.947,0,1005966.7370000001
181,144634.856,610523.167,235225.507,161807.308,48775.532999999996,97801.176,0,1298767.547
182,689497.7810000001,203710.603,11224.635,82521.52500000001,0,32119.717,0,1019074.261
183,414210.282,235024.185,54955.094999999994,273036.981,34543.973,46957.087,0,1058727.603
184,42303.591,808335.6969999999,13048.896,140137.662,0,69405.439,0,1073231.285
185,0,357057.43,61013.599,501819.366,0,196534.837,0,1116425.232
186,0,298209.257,0,0,0,0,0,298209.257
187,0,772172.637,0,0,0,0,0,772172.637
188,270.526,886011.488,0,22558.18,0,163548.951,0,1072389.145
189,0,550303.492,58151.174,342512.646,0,167158.161,0,1118125.473
190,42146.146,378894.808,4603.022,62211.856,0,0,0,487855.83200000005
191,0,29867.974,24859.716,0,0,0,0,54727.69
192,0,658379.295,0,0,0,0,0,658379.295
193,0,826909.813,32967.659,155665.524,0,0,0,1015542.9959999999
194,118502.487,769908.394,66476.61600000001,102326.302,0,0,0,1057213.7989999999
195,0,450205.289,91006.942,474705.212,0,0,0,1015917.443
196,0,713380.386,52126.106,250410.382,0,0,0,1015916.8740000001
197,0,600846.1429999999,66969.567,349600.97699999996,0,0,0,1017416.6869999999
198,102731.88399999999,613281.366,102701.05500000001,234450.666,0,0,0,1053164.9710000001
199,252836.112,982371.479,139206.702,174666.16,0,0,0,1549080.453
200,0,753113.984,31726.9,218347.694,0,0,0,1003188.5780000001
201,148964.386,856926.603,124268.204,145118.116,0,0,0,1275277.309
202,680572.132,322082.295,0,56187.121,0,0,0,1058841.548
203,426228.193,417423.055,29580.047000000002,144440.343,0,0,0,1017671.638
204,12805.924,619679.96,148128.423,90701.338,0,202521.283,0,1073836.928
205,177246.133,689300.88,26679.174,144773.64,0,36615.441,0,1074615.2680000002
206,57813.97,631822.54,63045.099,94178.734,14816.165,88860.96399999999,0,950537.4720000002
207,24114.075,538768.474,98191.331,257150.71899999998,0,114754.397,0,1032978.9959999999
208,0,664501.747,31819.307999999997,362141.718,0,0,0,1058462.773
209,27142.715,373476.811,33115.308,537699.16,0,0,0,971433.9940000001
210,76292.208,138486.371,0,832346.847,0,0,0,1047125.426
211,160126.418,460997.14099999995,0,180918.632,0,0,0,802042.1909999999
212,0,88406.388,21082.037,34711.281,0,0,0,144199.706
213,0,524771.784,7758.7390000000005,103807.282,0,76243.334,0,712581.139
214,0,487211.396,92241.524,311096.93799999997,0,167522.779,0,1058072.637
215,0,802234.388,8972.879,305096.408,0,0,0,1116303.675
216,0,730624.599,41517.299,167611.887,0,0,0,939753.785
217,0,50674.6,16785.279000000002,40107.675,0,0,0,107567.554
218,0,147279.849,12432.076,31075.194,0,95060.687,0,285847.806
219,621220.918,373951.639,0,0,0,0,0,995172.557
220,726744.67,288469.94899999996,462.113,0,0,0,0,1015676.732
221,332823.494,164027.365,0,242306.376,0,0,0,739157.235
222,478274.205,248200.838,0,0,0,0,0,726475.0430000001
223,171667.76,623074.971,0,0,0,0,0,794742.731
224,0,194661.92200000002,13659.697,21314.633,69548.806,857.256,0,300042.314
225,181716.72699999998,589555.113,103959.71500000001,141988.674,0,5418.079,0,1022638.308
226,511451.524,498781.695,0,62261.504,0,0,0,1072494.723
227,0,793111.902,101371.391,148435.58000000002,0,75393.549,0,1118312.4220000003
228,98299.371,710638.644,43720.753000000004,154025.603,0,65703.879,0,1072388.25
229,2481.114,749491.6410000001,70298.661,3372.219,0,11639.788,0,837283.423
230,52381.816,779804.167,4855.167,1465.714,0,0,0,838506.8640000001
231,507416.986,156101.22400000002,98366.595,294167.27599999995,0,0,0,1056052.0809999998
232,58361.135,518106.763,4560.369,321304.155,0,59618.892,0,961951.3139999999
233,728827.614,288227.976,0,0,0,0,0,1017055.59
234,95616.442,193153.736,0,13.11,0,0,0,288783.288
235,0,233641.666,27816.083,0,0,0,0,261457.749
236,56.157,61363.17,0,0,0,0,0,61419.327
237,260272.885,239067.272,0,0,0,0,0,499340.157
238,3813.764,723712.338,0,328042.391,0,2378.636,0,1057947.129
239,0,377647.356,56926.123999999996,214278.834,0,421939.342,0,1070791.656
240,0,510203.779,47396.856,7632.35,0,76384.608,0,641617.593
241,958.576,31807.633,0,0,0,0,0,32766.209000000003
242,25794.747,865031.4319999999,0,92047.417,0,0,0,982873.5959999999
243,370218.617,640830.9010000001,0,0,0,0,0,1011049.5180000002
244,166144.281,452938.645,0,7548.664,0,29459.684,0,656091.274
245,665085.184,129980.806,0,0,0,0,0,795065.99
246,256955.493,483280.512,231226.91100000002,101139.343,0,0,0,1072602.259
247,0,703794.008,184857.448,215865.09,0,13623.757,0,1118140.303
248,92344.678,565948.012,90090.099,158495.883,0,0,25142.885,932021.557
249,0,493314.151,268226.019,237162.476,0,18727.69,0,1017430.3359999999
250,15726.994999999999,719935.936,111666.493,72970.732,0,0,0,920300.156
251,0,286454.816,309148.356,332286.64300000004,0,188550.698,0,1116440.513
252,0,669875.739,138617.926,45479.921,0,163336.527,0,1017310.1129999999
253,183294.902,328580.538,0,388746.24500000005,8604.412,0,7872,917098.0970000001
254,3333.03,129350.94900000001,145615.696,529832.998,161616.527,0,32240.313,1001989.513
255,40669.563,91541.19,2589.689,300688.186,52972.498,0,0,488461.12600000005
256,0,327799.703,202222.621,257637.217,154811.383,0,26020.181,968491.105
257,0,789837.673,58054.093,210710.325,0,0,0,1058602.091
258,0,714226.484,123172.064,29565.727,0,206070.25699999998,0,1073034.5320000001
259,0,378195.341,215577.33599999998,156632.336,0,15204.295,0,765609.3080000001
260,20700.413,732816.518,33969.617,229568.788,0,0,0,1017055.3360000001
261,3.653,547651.568,219864.85199999998,166882.69100000002,76006.772,77879.592,0,1088289.128
262,0,322604.654,131808.72,260899.801,28942.792,0,0,744255.967
263,33444.835,392455.96499999997,118721.77100000001,425179.722,0,0,0,969802.2930000001
264,0,576739.669,195027.052,323485.692,0,0,0,1095252.413
265,0,502409.202,65336.645,111230.927,0,0,0,678976.774
266,0,556402.739,127928.088,296060.55,0,2956.36,0,983347.7369999998
267,39103.665,745593.956,133521.698,554728.695,0,0,0,1472948.014
268,0,510589.312,136018.944,411215.995,0,0,0,1057824.251
269,0,683126.025,152026.336,234142.098,0,5827.476,0,1075121.935
270,0,683333.043,209323.03399999999,115787.871,0,65138.525,0,1073582.473
271,0,504371.311,238106.228,200807.72499999998,0,128178.844,0,1071464.108
272,0,851584.003,108426.213,41856.763,0,114484.853,2383.327,1118735.159
273,0,891926.696,24996.733,99488.33,0,47562.482,7382.85,1071357.091
274,0,308290.363,6990.135,44242.465,0,0,1500.519,361023.48199999996
275,6405.062,761731.493,164452.578,129556.724,0,0,28416.525,1090562.382
276,1684.537,964289.718,35888.405,139038.502,0,56572.648,0,1197473.81
277,13335.639,414675.192,19397.588,122444.681,0,0,17718.188,587571.288
278,405209.656,132959.50100000002,0,496997.022,0,0,0,1035166.179
279,0,17749.759,15091.442,881864.225,0,99967.286,0,1014672.7119999999
280,1018488.054,40049.221000000005,0,0,0,0,0,1058537.275
281,748355.5020000001,266076.053,0,0,0,0,0,1014431.5550000002
282,815889.517,200039.21,0,0,0,0,0,1015928.727
283,899769.216,120864.114,0,27181.027,0,0,0,1047814.3570000001
284,672536.162,418847.161,0,26651.538,0,0,0,1118034.861
285,1111532.815,3259.408,0,0,0,0,0,1114792.223
286,591095.086,424713.212,0,0,0,0,0,1015808.298
287,522340.222,417864.473,0,72316.218,0,0,0,1012520.9130000001
288,909922.287,160601.005,0,0,0,0,0,1070523.292
289,1027684.233,90301.705,0,0,0,0,0,1117985.938
