Entertain_tags,number,overlap_num,overlap_word
tr?nthanh,36,11,"['tr?nthanhthachth?cdanhhai', 'di?unhitr?nthanh', 'tr?nthanhm?inh?t', 't?h?utr?nthanh', 'tuilat?h?utr?nthanh', 'tr?nthanhtown', 'tr?nthanhtuilat?h?u', 'tr?nthanh2018', 'tr?nthanhdi?unhi', 'haitr?nthanh', 'tr?nthanhofficial']"
꾹tv,36,125,"['꾹tv꿀잼', '꾹tv리뷰', '꾹tv추천', '꾹tv재미', '꾹tv인기', '꾹tv예능', '꾹tv개그', '꾹tv레전드', '꾹tv동영상', '꾹tv아이디어', '꾹tv대박', '꾹tv신기', '꾹tv실수', '꾹tv실패', '꾹tv먹방', '꾹tv모션인식', '꾹tv넋', '꾹tv폴딩드론', '꾹tvrc', '꾹tv미니', '꾹tv시계', '꾹tv방청소', '꾹tv사고영상', '꾹tv일상', '꾹tv꾹오리', '꾹tv헐', '꾹tv청소', '꾹tv드러워', '꾹tv키보드', '꾹tv레이저키보드', '꾹tv상품', '꾹tv프로젝터', '꾹tv제품', '꾹tv가상키보드', '꾹tv레이져', '꾹tv레이저', '꾹tv프로젝터키보드', '꾹tv조종', '꾹tv비행', '꾹tv드론', '꾹tv쥐치', '꾹tv영상', '꾹tv아귀포', '꾹tv간식', '꾹tv쥐치포', '꾹tv히터', '꾹tv쥐포', '꾹tvrealsound', '꾹tv리얼사운드', '꾹tv난로', '꾹tvmukbang', '꾹tv건강', '꾹tv사과', '꾹tv과일', '꾹tv망고', '꾹tv건조과일', '꾹tv건조', '꾹tv대추', '꾹tv바나나', '꾹tv식품', '꾹tv딸기', '꾹tv파인애플', '꾹tvasmr', '꾹tv눈', '꾹tv크리스마스', '꾹tv눈사람', '꾹tv손', '꾹tv눈덩이', '꾹tv작은손', '꾹tv사람', '꾹tv화이트', '꾹tv성탄절', '꾹tv폭설', '꾹tv비싼', '꾹tv웨이브', '꾹tv화재', '꾹tv문구', '꾹tv5만원', '꾹tv공책', '꾹tv로켓북', '꾹tv노트', '꾹tv로켓북웨이브', '꾹tv불남', '꾹tv불', '꾹tv동전', '꾹tv영국', '꾹tv동전쌓기', '꾹tv페니', '꾹tv묘기', '꾹tv패러디', '꾹tvsnow', '꾹tv급식체', '꾹tv앱', '꾹tv인터뷰', '꾹tv카메라', '꾹tv앵커', '꾹tv재난', '꾹tv충격', '꾹tv상황극', '꾹tv어플', '꾹tv외계인', '꾹tv수능', '꾹tv뉴스', '꾹tv스노우앱', '꾹tv스노우', '꾹tv사건', '꾹tv매직', '꾹tv달인', '꾹tv마술', '꾹tv어피치', '꾹tv선물', '꾹tv콘', '꾹tv카카오', '꾹tv택배', '꾹tv프렌즈', '꾹tv뽑기', '꾹tv랜덤박스', '꾹tv라이언', '꾹tv제이지', '꾹tv카카오톡', '꾹tv튜브', '꾹tv개봉', '꾹tv박스', '꾹tv럭키박스', '꾹tv무지']"
mbro,35,0,[]
세야,35,29,"['bj세야', '세야이은혜', '세야은혜', 'seya세야', '세야윈도우', '세야먹방', '아프리카tv세야', '세야폭행', '세야꽂자', '세야이기광', '세야해명', '세야동핵', '세야광고', '세야로렌', '세야종서', '세야야킹', '세야꽃자', '세야철구', '세야집', '최고다윽박세야', '세야우결', 'bj세야아프리카tv', '세야윽박', '세야차', '세야만두', '세야킹스맨', '세야남순', '세야술', '세야용느']"
?????,35,30,"['??????????', '????????', '???????????', '?????????', '????????????', '??????', '???????', '?????????????????', '??????????????????', '????????????????', '?????????????', '???????????????', '???????????????????', '????????????????????????????', '??????????????', '??????6', '????????????????????', '?.????????', '?????雷', '?????????????????????????????', '?????????????.', '????????????????????????', '??????12', '30??????', '?????????????????????????', '????????????3??????', '?????????????????????', '???????????????????????????????', '??????????????18+', '??.????????????']"
강다니엘,35,19,"['워너원강다니엘', '프로듀스강다니엘', '강다니엘풀컷', '프로듀스101강다니엘', '강다니엘입덕', '강다니엘컷', '강다니엘모음', '강다니엘뷰티풀', '171125마스터키강다니엘', '워너원고강다니엘편집', '강다니엘입덕영상', '강다니엘예능', '워너원고강다니엘컷', '강다니엘마스터키', '강다니엘리액션', '강다니엘고양이', '워너원고재로베이스3회강다니엘cut', '워너원고강다니엘cut', '강다니엘어깨']"
재미,35,8,"['꾹재미', '꾹tv재미', '재미있는영상', '#변희재미디어워치', '재미있는', '#변희재미디어워치대표고문', '재미도없더라', '재미도없드라']"
tranthanh,35,7,"['tranthanhthachthucdanhhai', 'tuilatuhautranthanh', 'tranthanhtown', 'tranthanhdieunhi', 'haitranthanh', 'dieunhitranthanh', 'mctranthanh']"
김희철,35,0,[]
eatingshow,34,0,[]
k-pop,34,4,"['k-popband', 'k-popmemes', 'k-pop101', 'collegekidsreacttok-popbtsmonstaxseventeentwiceredvelvet']"
도전,34,4,"['무한도전', '무한도전며느리', '무한도전수능', '무한도전549']"
한국,33,30,"['한국민속촌', '한국어', '한국방송', '한국음식', '한국말', '#자유한국당', '한국국가대표선수', '고든램지한국', '자유한국당', '한국드라마', '한국최고의영화리뷰채널', '한국영화', '한국고기', '한국아저씨', '한국아줌마', '한국요리', '한국할머니', '#대한애국당자유한국당', '한국유튜버', '아라시한국', '아라시한국어', '한국남자', '한국겨울', '#김진태자유한국당', '#김진태자유한국당의원', '#자유한국당태블릿pc', '#자유한국당태블릿pc진상조사팀', '#홍준표자유한국당', '일본라면한국라면', '일본한국']"
양세형,33,1,['양세형의숏터뷰']
????????,33,23,"['??????????', '???????????', '?????????', '????????????', '?????????????????', '??????????????????', '????????????????', '?????????????', '???????????????', '???????????????????', '????????????????????????????', '??????????????', '????????????????????', '?.????????', '?????????????????????????????', '?????????????.', '????????????????????????', '?????????????????????????', '????????????3??????', '?????????????????????', '???????????????????????????????', '??????????????18+', '??.????????????']"
아이유,33,1,['화유기아이유']
reaction,33,20,"['reactions', 'micdropreaction', 'firstreactiontokpop', 'micdropremixreaction', 'btssteveaokimicdropreaction', 'williamsingereaction', 'dadanddaughtersreactionstobtsmicdropftsteveaoki', 'daughtersanddadreactionchannel', 'dadanddaughtersreactionstobts', 'daughtersreactions', 'dadanddaughtersreactionstobtsmicdrop', ""dadanddaughtersreactionstobts(방탄소년단)'micdrop(steveaokiremix)'officialmv"", ""bts|micdrop|steveaokiremix'officialmv|blackguyreaction!!!"", 'bestmicdropreaction', 'firstreactiontobts', 'btsmicdropreaction', 'reactionvideo', 'reactionvideoonbtsmicdrop', '171231mamamooreactiontwiceheartshakermbcgayodaejun', 'mamamooreactiontwice']"
재밌는,32,6,"['재밌는영상', '재밌는퍼즐', '재밌는치킨게임', '중학생이된사쿠라이쇼(櫻井翔)~??재밌는일본광고(자막포함)', '안재억의재밌는인생', '재밌는동영상']"
food,32,7,"['koreanfood', 'foodfighter', 'foodfight', 'spicyfood', 'asianchickenfood', 'foodporn', 'mexicanfood']"
꾹tv꿀잼,32,0,[]
추천,32,15,"['꾹추천', '꾹tv추천', '의자추천', '틴트추천', '브로우추천', '파우치추천', '블러셔추천', '데이트코스추천', '커플이색데이트추천', '이색데이트추천', '데이트추천', '크리스마스선물추천', '일본라면추천', '브러쉬추천', '로드샵추천템']"
티비,32,10,"['꾹티비', '티비조선', '코미디티비', '티비엔', '제이티비씨', '안구정화티비', '티비데일리', '자몽티비', '아프리카티비', '생쇼티비']"
꾹tv리뷰,32,0,[]
rnr,32,1,['rnrtv']
???????????,32,19,"['????????????', '?????????????????', '??????????????????', '????????????????', '?????????????', '???????????????', '???????????????????', '????????????????????????????', '??????????????', '????????????????????', '?????????????????????????????', '?????????????.', '????????????????????????', '?????????????????????????', '????????????3??????', '?????????????????????', '???????????????????????????????', '??????????????18+', '??.????????????']"
꾹티비,32,0,[]
rnrtv,32,0,[]
찬,32,16,"['양세찬', '박찬호', '동핵찬', '박찬수', '찬열', '박용찬', '아디다스협찬', '노회찬', '이해찬', '협찬', '고든램지칭찬', '손혁찬', '김승찬', '승찬', '김힘찬', '황찬성']"
꾹리뷰,32,0,[]
꾹추천,32,0,[]
꾹tv추천,32,0,[]
뀩,32,0,[]
eating,32,3,"['eatingshow', 'eatingsounds', 'eatingsound']"
꾹인기,32,0,[]
