Animal_tags,number,overlap_num,overlap_word
feelsogood,49,0,[]
네눈,49,0,[]
강의,49,0,[]
tv,49,11,"['tv동물농장', 'tvanimalfarmengsub', 'tvanimalfarm', 'tvanimalfarmkoreanengsub', 'catvideo', 'amazingcatvideos', 'cattv', '강아지cctv', 'cctv', 'sbstvanimals', 'sbstvanimalfarm']"
박이,49,0,[]
폴드,49,1,['스코티쉬폴드']
아메리칸,49,0,[]
요괴,49,0,[]
노을,49,1,['수리노을']
길냥,49,1,['길냥이']
견,49,55,"['반려견', '시바견', '대형견', '소형견', '천재견', '반려견교육', '반려견문제행동', '시바견탱이', '시바견곰이', '중형견', '유기견', '애견', '애완견', '믹스견', '새끼믹스견', '귀여운믹스견', '믹스견새끼', '애견동반', '유기견구조', '군견셰퍼드', '군견입양', '군견', '군견올가전역을명받았습니다', '군견은퇴', '군견병', '군견올가', '군견은퇴식', '애견용품', '견종백과', '강형욱의견종백과', '애견감시카메라', '애견입양기', '유기견입양', '야외견', '천재견강아지', '동물농장천재견', '동물농장천재견제시', '천재견제시', '시바견아기', '반려견동반여행', '애견용품리뷰', '애견펜션', '대형견동영상', '대형견가족', '귀여운시바견', '애견방석', '애견팬션', '거제도애견동반', '시바견분양', '애견샵', '시바견키우기', '동물농장유기견', '유기견분양', '시바견털날림', '시바견털']"
닥스,49,0,[]
헤어,49,2,"['롱헤어', '숏헤어']"
오버워치,49,0,[]
훈트,49,0,[]
댄스,49,0,[]
스코티쉬,49,1,['스코티쉬폴드']
페르시안,49,0,[]
블루,49,2,"['러시안블루', '블루길']"
아프리카,49,0,[]
레그,49,1,['숏레그']
스피츠,49,0,[]
배틀,49,0,[]
여캠,49,0,[]
퍼그,49,0,[]
수리,49,1,['수리노을']
롤,49,0,[]
그라운드,49,0,[]
묘,49,0,[]
kitty,49,0,[]
콘서트,49,0,[]
브리티쉬,49,0,[]
섹시,49,0,[]
직캠,49,0,[]
예쁜,49,0,[]
숏,49,3,"['숏레그', '숏다리', '숏헤어']"
히어로즈,49,1,['크림히어로즈']
크림,49,1,['크림히어로즈']
폼피츠,49,0,[]
햄스터,49,0,[]
스핑크스,49,0,[]
워치,49,1,['오버워치']
앙고라,49,0,[]
