People_tags,number,overlap_num,overlap_word
jimin,92,13,"['parkjimin', 'btsjimin', 'jiminfancam', '#방탄소년단#bts#amas#방탄미국#jimin', '#jimin', 'jiminletgo', 'jiminfocus', 'taehyungandjiminatwingstour', 'taehyungandjimin', 'vandjimin', 'jimin中字', '#방탄소년단#bts#방탄미국#e뉴스#jimin', 'btsamasjinjiminvtaeyangkpopkoreajungkooksugarapmonsterrm']"
점심,92,0,[]
버블디아,92,0,[]
도아,91,0,[]
쯔위,91,4,"['쯔위사건', '쯔위대만국기', '대만쯔위', '트와이스쯔위']"
이환,91,2,"['이환유튜브', 'bj이환']"
윤마,91,0,[]
지효,91,3,"['송지효', '트와이스지효', '#트와이스#나정모사지미다채쯔#정연#지효#실친즈#진짜#친구#라디오#뻥치지마#꿀잼#엄귀#싱가포르#singapore#낰낰#미션#하트']"
와꾸대장봉준,91,0,[]
댄스,90,16,"['마루에몽댄스', '2배속댄스', '랜덤댄스', 'bj댄스', '커버댄스', '걸그룹랜덤댄스', '셀럽파이브댄스', '오사카댄스팀', '일본댄스팀', '화재의댄스', '댄스배틀', '진공관댄스', '다이어트댄스', 'bj섹시댄스', '섹시댄스', '눈가리고댄스']"
木下ゆうか,89,1,['키노시타유우카木下ゆうか']
저녁,89,0,[]
엣지,89,0,[]
도로시리얼사운드,88,0,[]
광저우사는여자,88,0,[]
염보성,87,0,[]
여캠,87,1,['섹시여캠']
랜딩,87,0,[]
화정,87,1,"[""'화정'""]"
지혜,87,1,['차지혜']
코코,86,3,"['샤넬코코', '코코넛깨기', '코코넛꿀팁']"
도로시먹방,86,0,[]
박가린,86,0,[]
꽃자,86,1,['트랜스젠더꽃자']
서윤,85,0,[]
햄튜브,85,1,['햄튜브룩북']
김이브님,85,0,[]
슈기,84,5,"['슈기떡볶이', '슈기엽떡', '슈기신전', '슈기님', '햄버거먹방슈기']"
고두림,84,11,"['고두림김인호', '고두림가슴사이즈', '고두림가로수길데이트', '고두림속옷가게', '고두림합방', '고두림데이트', '고두림가로수길', '고두림신사동', '고두림신사동데이트', '고두림먹방', '고두림속옷']"
채림,83,0,[]
대도서관,83,1,['대도서관김이브']
소근커플,83,0,[]
노래하는코트,83,0,[]
필메,83,0,[]
kangdaniel,83,5,"['ongseongwookangdaniel', 'kangdanieldance', 'kangdanielfocus', 'kangdanielcut', 'kangdanielfancam']"
아리샤,83,0,[]
인아쨩,83,0,[]
안나,83,1,['안나수이립스틱']
딩고스튜디오,83,0,[]
지여닝,83,0,[]
나래,83,1,['박나래']
이슬이,83,0,[]
유은,83,0,[]
채보미,83,0,[]
망가녀,83,0,[]
핫빈,83,0,[]
태림,83,0,[]
아윤,83,1,['아윤채샴푸']
딩고,83,1,['딩고스튜디오']
로이설,83,0,[]
꽃님,83,0,[]
밤비노,83,0,[]
쏘님,83,0,[]
인기동영상,83,0,[]
꿀꿀선아,83,0,[]
태리,83,0,[]
은솔,83,0,[]
ashinctr,82,1,['ashinctr.']
브이로그,82,22,"['일상브이로그', '해외일상브이로그', '해외브이로그', '직장인브이로그', '세로브이로그', '꿀키브이로그', '먹방브이로그', '영국브이로그', '런던브이로그', '직장브이로그', '일본브이로그', '일본일상브이로그', '일상영상브이로그', '오사카브이로그', '새벽브이로그', '브이로그채널', '킴닥스브이로그', '친구와브이로그', '여행브이로그', '병맛브이로그', '크리스마스브이로그', '만취브이로그']"
vlog,81,11,"['mukbangvlog', 'dailyvlogs', 'vlogs', 'vlogging', 'girlvlogger', '새벽vlog', '먹방vlog', 'japanvlog', '병맛vlog', 'vlogmas', 'christmasvlog']"
여자친구,81,9,"['윤성빈여자친구', '주간아이돌여자친구', '여자친구신비', '주간아이돌여자친구신비', '걸그룹여자친구', '여자친구밤mv', '여자친구뮤비', '여자친구밤뮤비', '여자친구은하']"
키노시타유우카,80,1,['키노시타유우카木下ゆうか']
