Comedy_tags,number,overlap_num,overlap_word
여사친,27,0,[]
습관적,27,1,['습관적인사랑']
연인관계,27,0,[]
개그,27,15,"['개그영상', '개그방송', '개그맨', '아재개그', '개그맨유투버', '개그맨박상현', '개그맨유튜브', '개그맨유튜버', '개그맨유투브', '개그맨심문규', '개그맨이상은', '개그동영상', '[개그대학]', '개그대학', 'no.1꿀잼tv[개그대학]']"
만취녀,27,0,[]
사랑해,27,0,[]
가정이혼,27,0,[]
game,27,1,['games']
헤어지는이유,27,0,[]
머리나쁜여자,27,0,[]
사별,27,0,[]
보고,27,1,['영화를보고']
남사친,27,1,['남사친꼬시기']
소개팅매너,27,0,[]
눈물,27,0,[]
사람의마음,27,0,[]
수줍음,27,0,[]
가정폭력,27,0,[]
소개팅카톡,27,0,[]
좋아지는,27,0,[]
사실혼,27,0,[]
헤어지는,27,2,"['헤어지는카톡', '헤어지는이유']"
머리나쁜남자,27,0,[]
사랑의시작,27,0,[]
이별카톡,27,0,[]
고소,27,1,['고소공포증']
이른아침,27,0,[]
학교,27,8,"['학교꿀팁', '학교폭력', '학교영상', '학교에서꿀팁', '학교지각', '학교유형', '학교생활', '초등학교']"
학원,27,0,[]
승부욕,27,0,[]
급식체,27,0,[]
인강,27,2,"['인강레전드', '웃긴인강']"
fun,27,5,"['funny', 'funny매드무비', 'funvideos', 'funnyvideo', '컴funny']"
아침,27,5,"['이른아침', '아침햇살', '아침이좋다양팡', '양팡아침이좋다', 'kbs아침이좋다']"
이별관계,27,0,[]
나좋아하,27,0,[]
니가참좋아,27,0,[]
꼬셔서,27,0,[]
이성꼬시기,27,0,[]
친구에게,27,0,[]
카카오톡고백,27,0,[]
바보들,27,0,[]
꼬시기,27,4,"['남사친꼬시기', '여자꼬시기', '남자꼬시기', '이성꼬시기']"
사랑고백,27,0,[]
내여자,27,2,"['넌내여자', '니가내여자']"
오늘부터1일,27,0,[]
사랑의과정,27,0,[]
이혼,27,2,"['부부이혼', '가정이혼']"
급식왕,26,0,[]
마음의소리,26,0,[]
야동,26,0,[]
절대광자,26,0,[]
브베,26,2,"['브베그라샤', '브베그라샤영상']"
남순이,26,0,[]
웹드라마,26,0,[]
교감쌤,26,0,[]
급식충,26,0,[]
공부비법,26,0,[]
교장쌤,26,0,[]
연플리,26,0,[]
담배,26,0,[]
급식판,26,0,[]
정광자,26,0,[]
룰루랄라,26,0,[]
전교1등,26,0,[]
급식실,26,0,[]
교육방송,26,0,[]
땡땡이,26,0,[]
엔조이커플,26,0,[]
뚜띠모띠,26,0,[]
팟캐스트,26,0,[]
학교꿀팁,26,0,[]
대딸맨,26,0,[]
연애플레이리스트,26,0,[]
노량진,26,0,[]
공감영상,26,0,[]
학교폭력,26,0,[]
방송수업꿀팁,26,0,[]
발가락쌤,26,0,[]
얼간김준호,26,0,[]
개콘,26,0,[]
일진영상,26,0,[]
기뉴다,25,6,"['기뉴다유나땅', '기뉴다향이', '기뉴다상어녀', '기뉴다안겨', '기뉴다혜리', '향이기뉴다']"
방송,25,27,"['인터넷방송', '인터넷방송bj유머방송', '개그방송', '웃긴방송', '게임방송', '인터넷방송bj', '생방송', '가족방송', '교육방송', '방송수업꿀팁', '양팡합동방송', '양팡가족방송', '#포항#지진#방송사고#주의하세요', '공포게임방송', '1인방송', '추자방송', '방탄소년단해외방송', '방탄소년단미국방송', '미방송분', '라이브방송', '캠방송no.1', '코트생방송', '유튜브생방송', '수면제방송', '합동방송', '방송사고', '먹는방송']"
비밀보장,25,1,['송은이&김숙비밀보장']
포메라니안,25,3,"['블루멀포메라니안', '파티포메라니안', '암컷포메라니안']"
김치녀,25,0,[]
잠뜰,25,0,[]
몰래카메라,25,0,[]
수업비법,25,0,[]
김숙,25,1,['송은이&김숙비밀보장']
유머,24,2,"['인터넷방송bj유머방송', '유머영상']"
취중고백,24,0,[]
취중진담,24,0,[]
미친,24,2,"['미친남자', '미친짓']"
습관적인사랑,24,0,[]
느금마엔터,23,0,[]
된장녀,23,0,[]
wootso,23,0,[]
송은이&김숙비밀보장,23,0,[]
