fid,avg_tmp,max_tmp,min_tmp,상업/업무지(도시),도로(도시),일반주택지(도시),교육/군사시설(도시),유원지(임지),공공용지(도시),인공녹지(도시),하천(수계),고층주택지(도시),공업시설(도시),침엽수림(임지),암벽/석산(임지),미경지정리답(농지),보통/특수작물(농지),처리장(도시),저수지/늪(수계),자연초지(임지),발전시설(도시),공업나지(도시),인공초지(임지),경지정리답(농지),활엽수림(임지),철로(도시),골프장(임지),혼합수림(임지),가축/사육시설(도시),공원묘지(임지),과수원(농지),매립지(도시),shape_area
488,32.16129032258065,37,28,59166.91999999999,15584030.379,1180483.6409999998,576321.878,0.0,0.0,5411.774,0.0,18845.384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,961662.448,0.0,2252936.596,0.0,0.0,0.0,0.0,20638859.02
487,31.714285714285715,33,30,70907.849,15584030.379,912913.661,47124.831000000006,0.0,0.0,21469.783,47476.655,76441.411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,961662.448,0.0,274374.457,0.0,0.0,0.0,0.0,17996401.474
545,28.41025641025641,33,22,762668.357,15584030.379,10517.426000000001,94243.867,71908.343,240521.261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16763889.633000001
310,29.94871794871795,35,23,405698.083,15584030.379,763634.393,142243.17200000002,0.0,333564.721,0.0,0.0,82062.656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,961662.448,0.0,0.0,0.0,0.0,0.0,0.0,18272895.852
547,26.285714285714285,34,16,1022994.884,15584030.379,94800.984,0.0,0.0,145703.911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16847530.158
548,27.99367088607595,37,16,719100.7750000001,34313789.626,460049.70300000004,148393.07400000002,0.0,153477.41600000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35794810.594000004
551,34.2,38,31,401892.97800000006,18729759.247,582924.5950000002,64623.48299999999,0.0,122820.13200000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19902020.435000002
552,33.46666666666667,37,30,95659.842,18729759.247,1021338.153,62156.712,0.0,11663.271999999999,0.0,0.0,130322.01699999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17617.878,0.0,0.0,0.0,0.0,20068517.121
341,33.340425531914896,37,30,154182.14,18729759.247,732938.839,336410.046,0.0,117929.538,32634.779000000002,170521.22100000002,95059.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20180.795,0.0,0.0,0.0,0.0,320410.294,0.0,26167.611,0.0,0.0,0.0,0.0,20736194.090000004
342,34.208333333333336,37,32,201355.155,18729759.247,978632.8459999999,29172.194,0.0,109725.41999999998,30984.89,179731.74500000002,75997.365,0.0,0.0,0.0,0.0,0.0,149602.411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320410.294,0.0,0.0,0.0,0.0,0.0,0.0,20805371.567
305,30.306306306306308,35,24,0.0,3257504.557,75999.87400000001,244758.258,0.0,0.0,182293.133,2007555.756,6423.706999999999,0.0,574623.262,0.0,0.0,510011.63899999997,28071.557999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200289.12199999997,0.0,0.0,0.0,0.0,7087530.866
571,34.10526315789474,36,31,58395.66100000001,18729759.247,1096147.4380000003,50016.755000000005,0.0,56111.687,1552.1080000000002,0.0,164632.153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20180.795,0.0,0.0,0.0,0.0,262961.43,0.0,0.0,0.0,0.0,0.0,0.0,20439757.274000004
304,28.11111111111111,34,23,0.0,3257504.557,28834.870000000003,0.0,0.0,49930.514,275395.78099999996,3917147.537,0.0,0.0,0.0,0.0,0.0,295391.60099999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7824204.86
343,31.549295774647888,35,28,242513.83800000002,18729759.247,592973.395,27959.011,0.0,20350.113999999998,126736.59699999998,513767.49199999997,60141.32,0.0,0.0,0.0,0.0,0.0,133032.606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20447233.62
347,29.142857142857142,34,25,0.0,18729759.247,431498.36600000004,44892.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3608112.585,0.0,0.0,0.0,0.0,22814263.038000003
34,29.333333333333332,33,26,0.0,6201649.948,0.0,0.0,0.0,0.0,0.0,304085.224,0.0,0.0,0.0,0.0,0.0,22658.411999999997,0.0,0.0,0.0,0.0,0.0,0.0,1352718.847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7881112.431
272,30.666666666666668,34,28,11078.501,3257504.557,114027.25099999999,262739.51900000003,0.0,0.0,398.958,2125761.201,284061.903,0.0,555841.5009999999,0.0,0.0,563771.662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7175185.052999999
35,30.704545454545453,37,26,0.0,6201649.948,150493.79100000003,0.0,0.0,0.0,0.0,225948.21,0.0,0.0,0.0,0.0,538347.789,2141150.289,0.0,0.0,0.0,0.0,0.0,0.0,4328215.627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13585805.654
273,30.672727272727272,34,27,0.0,3257504.557,165644.03299999997,83940.64199999999,0.0,123546.41399999999,69118.958,118205.445,219812.173,0.0,0.0,0.0,0.0,515175.627,38985.208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326870.22400000005,0.0,0.0,0.0,0.0,4918803.281
18,32.32692307692308,38,26,322225.392,6201649.948,618420.374,66242.225,0.0,353673.51300000004,41443.334,23704.822999999997,0.0,0.0,0.0,0.0,679245.827,3072073.218,0.0,0.0,0.0,0.0,0.0,64264.297999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11442942.952
