fid,lat,lon,avg_dust,max_dust,min_dust
466,37.591,126.90899999999999,52.5,53,52
357,37.589,127.037,50.0,52,48
370,37.599000000000004,127.037,54.0,56,52
360,37.589,127.04899999999999,51.0,52,50
373,37.608000000000004,127.061,51.5,52,51
231,37.59,127.025,50.5,53,48
464,37.59,126.932,52.5,53,52
484,37.59,126.956,52.5,54,51
320,37.589,127.10700000000001,48.5,50,47
3,37.59,126.96700000000001,50.5,52,49
8,37.59,126.979,50.0,51,49
318,37.589,127.084,47.5,49,46
319,37.589,127.095,47.0,48,46
327,37.59,127.00200000000001,49.0,50,48
369,37.59,126.991,49.0,50,48
483,37.59,126.944,53.5,54,53
447,37.582,126.897,53.5,54,53
572,37.589,127.06,51.0,51,51
446,37.582,126.88600000000001,53.5,54,53
463,37.591,126.921,52.5,53,52
328,37.59,127.014,50.0,52,48
410,37.681999999999995,127.039,53.5,54,53
26,37.582,126.816,50.5,51,50
28,37.591,126.816,51.0,51,51
317,37.589,127.072,50.0,51,49
481,37.580999999999996,126.944,52.5,53,52
482,37.580999999999996,126.955,51.0,53,49
492,37.580999999999996,126.932,52.5,53,52
314,37.58,127.072,50.0,51,49
359,37.58,127.06,51.0,51,51
358,37.58,127.04899999999999,50.0,51,49
279,37.580999999999996,126.979,48.0,49,47
448,37.6,126.921,52.0,52,52
29,37.573,126.792,50.5,51,50
25,37.582,126.804,50.5,51,50
278,37.58,127.025,47.5,49,46
491,37.580999999999996,126.921,53.5,54,53
537,37.580999999999996,127.00200000000001,46.5,48,45
13,37.582,126.82700000000001,50.5,51,50
539,37.58,127.014,47.0,49,45
316,37.58,127.095,47.5,49,46
4,37.580999999999996,126.96700000000001,49.0,51,47
23,37.573,126.804,50.5,51,50
514,37.571999999999996,126.885,54.0,55,53
477,37.571999999999996,126.944,51.0,52,50
513,37.573,126.874,52.5,53,52
538,37.571,127.01299999999999,46.0,48,44
478,37.571999999999996,126.955,49.5,52,47
5,37.571999999999996,126.96700000000001,46.5,49,44
