fid,lat,lon,Annual_WS,Annual_WD,fid_2,DN
"321",37.598,127.072,2.77,291.83,"26","49"
"323",37.598,127.095,2.77,266.86,"26","49"
"365",37.607,127.096,2.76,279.73,"26","49"
"366",37.607,127.107,2.89,268.64,"26","49"
"325",37.607,127.084,2.77,290.88,"26","49"
"275",37.57,127.165,2.99,279.94,"27","55"
"309",37.569,127.176,2.96,277.7,"27","55"
"210",37.571,127.002,3.05,300.31,"28","44"
"538",37.571,127.013,2.99,301.15,"28","44"
"313",37.57,127.095,3.26,319.96,"29","51"
"31",37.564,126.781,3.82,290.73,"30","51"
"313",37.57,127.095,3.26,319.96,"31","50"
"311",37.571,127.072,2.92,287.53,"31","50"
"312",37.571,127.083,2.89,291.36,"31","50"
"315",37.58,127.084,2.86,275.22,"31","50"
"314",37.58,127.072,2.9,288.43,"31","50"
"320",37.589,127.107,3.37,252.38,"31","50"
"317",37.589,127.072,2.85,290.68,"31","50"
"322",37.598,127.084,2.79,285,"31","50"
"364",37.598,127.107,3.06,251.48,"31","50"
"321",37.598,127.072,2.77,291.83,"31","50"
"365",37.607,127.096,2.76,279.73,"31","50"
"366",37.607,127.107,2.89,268.64,"31","50"
"325",37.607,127.084,2.77,290.88,"31","50"
"324",37.608,127.072,2.71,294.44,"31","50"
"368",37.616,127.107,2.81,277.47,"31","50"
"363",37.617,127.084,2.73,289.88,"31","50"
"367",37.617,127.096,2.71,281.57,"31","50"
"210",37.571,127.002,3.05,300.31,"32","45"
"537",37.581,127.002,3.09,311.64,"32","45"
"538",37.571,127.013,2.99,301.15,"32","45"
"539",37.58,127.014,3.01,307.54,"32","45"
"548",37.562,127.002,3.2,293.04,"32","45"
"551",37.562,127.013,3.05,295.49,"32","45"
"304",37.561,127.13,2.94,292.36,"33","56"
"304",37.561,127.13,2.94,292.36,"34","56"
"1",37.571,126.99,3.13,305.21,"35","46"
"7",37.581,126.99,3.13,315.9,"35","46"
"210",37.571,127.002,3.05,300.31,"35","46"
"537",37.581,127.002,3.09,311.64,"35","46"
"538",37.571,127.013,2.99,301.15,"35","46"
"539",37.58,127.014,3.01,307.54,"35","46"
"547",37.562,126.99,3.29,300.78,"35","46"
"548",37.562,127.002,3.2,293.04,"35","46"
