fid,avg_tmp,max_tmp,min_tmp,상업/업무지(도시)_비율,도로(도시)_비율,일반주택지(도시)_비율,교육/군사시설(도시)_비율,유원지(임지)_비율,공공용지(도시)_비율,인공녹지(도시)_비율,하천(수계)_비율,고층주택지(도시)_비율,공업시설(도시)_비율,침엽수림(임지)_비율,암벽/석산(임지)_비율,미경지정리답(농지)_비율,보통/특수작물(농지)_비율,처리장(도시)_비율,저수지/늪(수계)_비율,자연초지(임지)_비율,발전시설(도시)_비율,공업나지(도시)_비율,인공초지(임지)_비율,경지정리답(농지)_비율,활엽수림(임지)_비율,철로(도시)_비율,골프장(임지)_비율,혼합수림(임지)_비율,가축/사육시설(도시)_비율,공원묘지(임지)_비율,과수원(농지)_비율,매립지(도시)_비율,순수양호,순수불량,순수양호_비율,순수불량_비율,80m_wind_speed,10m_wind_speed,difference_wind,avg_dust_10,max_dust_10,min_dust_10,max_ele,min_ele,avg_ele,num_ele,diff_ele,label,b_sum,g_sum
492,29.78571429,33,27,0.437985795,86.35361285,4.935060427,0.638307041,0,0.247779135,0,0.144567325,0.056231696,0,7.186455735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,919553.519,75993.22,92.36668486,7.633315145,3.34,3.05,0.29,52.5,53,52,156,21,57.69291339,127,135,3,6.06758496,7.186455735
7,21.84824903,33,14,0.153831965,77.50954533,2.357891139,0.805607333,3.32191579,0.776532749,0,0,0,0,15.07467569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436846.417,634695.204,40.7680307,59.2319693,3.13,2.81,0.32,47.5,49,46,81,27,46.4,120,54,0,3.317330436,18.39659148
29,30.3125,36,26,0,64.64251529,0,0,0,0,0.132929232,2.355157215,0,0,0,0,2.28152095,0.603987735,0,0,0,0,0,0,29.98388958,0,0,0,0,0,0,0,0,0,1317409.381,0,100,3.79,3.07,0.72,50.5,51,50,12,5,8.696969697,33,7,0,0,0.132929232
278,34.24,37,32,0.171028623,92.21963251,5.562439622,1.459864223,0,0.051908218,0,0.180325367,0.127290622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227510811,0,0,0,0,538169.157,496997.022,51.98867273,48.01132727,2.95,2.57,0.38,47.5,49,46,51,16,26.6,85,35,0,7.32062309,0.227510811
539,32.88888889,35,30,0.085239608,89.49724314,7.851098287,1.240828702,0,0.019406496,0,0,0.846117454,0,0.239271786,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220794529,0,0,0,0,1072077.057,0,100,0,3.01,2.67,0.34,47,49,45,110,19,58.08823529,136,91,3,10.02328405,0.460066315
12,27.36734694,34,23,0.877464142,59.69489639,0.454214766,0,0,0.220677027,0,25.00777395,1.604874257,0,1.152056201,0,4.725025328,1.660984235,3.537647351,1.064386352,0,0,0,0,0,0,0,0,0,0,0,0,0,511586.47,612570.832,45.50844166,54.49155834,3.68,3.02,0.66,50.5,51,50,63,3,12.38461538,91,60,0,6.474200516,1.152056201
315,25.32835821,33,18,0.773839161,92.87054441,3.777454993,0.068586379,0,0.051190257,0.449999728,1.608910711,0.399474359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334961.641,501106.704,40.06390662,59.93609338,2.86,2.51,0.35,48,50,46,74,12,26.35483871,93,62,0,5.019354891,0.449999728
359,31.61538462,36,28,0,91.65166013,4.277902752,2.026916444,0,0,0,0,0.109225579,0,1.886142989,0,0,0,0,0,0,0,0,0,0,0,0.048152106,0,0,0,0,0,0,803627.629,211058.551,79.19962298,20.80037702,2.9,2.47,0.43,51,51,51,95,16,38.6,110,79,1,6.414044775,1.886142989
314,31.4,35,28,0.365873304,91.86792852,2.408832058,0.782187934,0,0.283514119,0.35132031,0.811182017,1.238568061,0,1.890593678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381806.797,651633.064,36.94523614,63.05476386,2.9,2.42,0.48,50,51,49,47,8,16.26,50,39,0,4.795461358,2.241913989
316,26.28358209,33,21,0.163765555,77.94782972,3.966142342,0.496189073,0,0.042964855,0,0,0.31854143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.01591887,0,2.048648152,0,0,1009483.828,221469.617,82.00828651,17.99171349,3.2,2.92,0.28,47.5,49,46,294,24,117.2931034,174,270,1,4.944638399,15.01591887
