fid,avg_tmp,max_tmp,min_tmp,상업/업무지(도시)_비율,도로(도시)_비율,일반주택지(도시)_비율,교육/군사시설(도시)_비율,유원지(임지)_비율,공공용지(도시)_비율,인공녹지(도시)_비율,하천(수계)_비율,고층주택지(도시)_비율,공업시설(도시)_비율,침엽수림(임지)_비율,암벽/석산(임지)_비율,미경지정리답(농지)_비율,보통/특수작물(농지)_비율,처리장(도시)_비율,저수지/늪(수계)_비율,자연초지(임지)_비율,발전시설(도시)_비율,공업나지(도시)_비율,인공초지(임지)_비율,경지정리답(농지)_비율,활엽수림(임지)_비율,철로(도시)_비율,골프장(임지)_비율,혼합수림(임지)_비율,가축/사육시설(도시)_비율,공원묘지(임지)_비율,과수원(농지)_비율,매립지(도시)_비율,순수양호,순수불량,순수양호_비율,순수불량_비율,80m_wind_speed,10m_wind_speed,difference_wind,avg_dust_10,max_dust_10,min_dust_10,max_ele,min_ele,avg_ele,num_ele,diff_ele
434,32.6470588235294,35,30,0.313574586218008,20.4306890168617,0.0,0.936926939996265,0.0,0.18250830234069698,0.0972849898838137,0.0,7.157162616155031,0.0,67.8393955922609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.04245795628357,0.0,0.0,0.0,0.0,0.0,0.0,268577.877,744995.1440000001,26.498128051496398,73.50187194850359,2.68,2.39,0.29,50.5,51,50,51,24,32.723076923076924,65,27
392,28.75,33,26,0.0,0.0,0.0,0.0,1.11089126546151,0.0,0.0,0.0,0.0,0.0,98.8891087345385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1071998.384,0.0,100.0,0.0,3.85,3.02,0.83,51.0,52,50,324,71,156.45,140,253
390,30.9782608695652,34,28,0.295444570090644,11.705734197686901,4.8614069469252,0.820291675176073,1.6596209166447902,0.103898482752813,0.062391275871513004,0.40400543437917796,0.287293542213807,0.0,79.71378622544721,0.0,0.0,0.086126732811883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,573639.063,496367.528,53.6107971506878,46.3892028493122,2.76,2.39,0.37,51.5,55,48,87,37,54.54330708661417,127,50
388,25.888888888888896,27,25,0.0,0.0,0.0,0.0,0.00433315039161925,0.11046563465039098,0.0,0.0,0.0,0.0,99.6266710550586,0.25853015989946804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1384635.7519999999,0.0,97.459702018623,0.0,5.08,3.91,1.17,50.5,51,50,712,177,366.502538071066,197,535
476,20.2083333333333,29,13,0.0686023220242863,1.4315265066271001,0.908704570565438,0.22480772599217802,0.5075614680045031,0.24294090645957897,0.0,1.3894578388523302,0.0,0.0,92.04360630953,0.0,0.11943056683457699,3.06336178510997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,615247.762,127976.55,78.8738999844055,16.4064141773331,2.98,2.7,0.28,52.0,52,52,162,36,71.86507936507937,126,126
389,28.1,30,26,0.0,0.0,0.820896386748573,0.0,1.23929830305413,0.0,0.0,0.0690871851531639,0.0,0.0,97.81116749311559,0.0,0.0,0.059550631928510005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1072122.0929999999,0.0,100.0,0.0,3.62,2.76,0.86,49.5,51,48,299,53,135.52287581699346,153,246
433,26.048387096774203,33,17,0.667435395600053,17.842708723298603,4.84271798074888,1.89886492431166,0.0,0.0,0.0,0.0,3.0357285081864704,0.0,71.7125444678544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1082105.978,161844.441,86.9894781553991,13.010521844600898,2.7,2.69,0.0100000000000002,50.5,51,50,390,37,158.62576687116564,163,353
408,33.2666666666667,37,30,3.0159065755148,69.1103755138788,6.87907840535223,0.20919570615239802,0.0,1.69893615597575,0.545416126050178,4.12489622573565,5.434934950217509,2.42902917442699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.55223116669563,0.0,0.0,0.0,0.0,0.0,0.0,268745.294,757022.952,26.199416393320497,73.8005836066795,2.57,2.32,0.25,53.0,55,51,31,18,24.076923076923077,52,13
400,32.0,35,29,3.1007473074434797,61.6404370320187,12.7068198258135,1.68765194319437,0.0,0.0,0.0,0.0,13.990776413376802,3.40291264952985,3.4706548286234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998725.5390000001,57545.677,94.55199799745371,5.44800200254629,2.58,2.35,0.23,56.0,58,54,60,24,34.72549019607843,102,36
399,31.181818181818198,35,28,0.0227165736942991,56.8686919916747,9.07070833637253,1.5625995570319298,0.0,0.0,0.0,0.0,15.3782573498579,0.0,16.4605401223917,0.0,0.0,0.636486068976891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,838728.9040000001,177980.957,82.4944201067408,17.5055798932592,2.58,2.35,0.23,56.0,59,53,94,38,54.082644628099175,121,56
431,32.6666666666667,35,30,5.5819947180375005,69.2572365846342,1.10766894297625,1.4985656631921798,0.0,0.760348016156623,0.0405344077121961,4.13366172110392,11.0538351438895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5661548022977,0.0,0.0,0.0,0.0,0.0,0.0,143196.74800000002,799062.41,15.1971723261298,84.8028276738702,2.62,2.31,0.31,50.5,51,50,29,22,25.772727272727273,22,7
432,31.5263157894737,34,29,3.5223455326055895,66.4907716716027,7.148042952969379,4.15410316118136,0.0,0.393319687840097,0.171267195308303,0.49502354994480496,11.3212550395594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.303871208988411,0.0,0.0,0.0,0.0,0.0,0.0,854204.585,142323.91,85.71802906649451,14.2819709335055,2.57,2.33,0.24,50.5,51,50,49,24,32.82258064516129,62,25
475,17.2110091743119,24,10,0.0,0.0,0.0,0.24792318716397602,0.5597505880811271,0.0,0.0,0.136566079532669,0.0,0.0,99.05576014522221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,942539.934,2550.612,99.7301198270583,0.26988017294165195,3.65,3.39,0.26,52.0,52,52,419,110,247.8368794326241,141,309
473,24.9718309859155,30,18,0.0,6.49459205990809,10.9314645229299,0.0,0.0,0.0,0.6132504835559449,6.39867116358815,0.0,0.877926189305255,52.9725835402945,0.0,0.0,20.8632579700207,0.0,0.0,0.0,0.0,0.0,0.848254070397453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,886202.571,103983.55699999999,89.49858475496642,10.501415245033598,3.03,2.64,0.39,52.0,52,52,114,30,60.96026490066225,151,84
