"fid","avg_tmp","max_tmp","min_tmp","도로(도시)_비율","공공용지(도시)_비율","하천(수계)_비율","암벽/석산(임지)_비율","미경지정리답(농지)_비율","보통/특수작물(농지)_비율","저수지/늪(수계)_비율","공업나지(도시)_비율","경지정리답(농지)_비율","철로(도시)_비율","골프장(임지)_비율","공원묘지(임지)_비율","과수원(농지)_비율","순수양호","순수불량","순수양호_비율","순수불량_비율","80m_wind_speed","10m_wind_speed","difference_wind","avg_dust_10","max_dust_10","min_dust_10","max_ele","min_ele","avg_ele","num_ele","diff_ele","label","b_sum","g_sum"
428,23.5471698113208,32,17,0,0,0,0,0,0.175593381078261,0,0,0,0,0,0,0,716630.138,17985.103,97.5517656051462,2.44823439485378,2.84,2.57,0.27,51,51,51,255,61,143.07476635514,107,194,1,5.57387335311338,94.2505332658084
387,33.1538461538461,35,31,50.8965883131376,0.783450327265202,1.72849855936597,0,0,0,0,0,0,0,0,0,0,641301.664,372512.951,63.2563049014637,36.7436950985363,2.49,2.29,0.2,54.5,58,51,51,30,37.9672131147541,61,21,1,36.5682912322471,10.0231715679841
384,24.25,27,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1219595.26,0,100,0,4.8,3.74,1.06,50.5,51,50,599,180,382.556886227545,167,419,3,0,99.9999999999999
398,32.3953488372093,36,27,56.5782829353512,1.25180269222634,0.337877519951189,0,0,0,0,0,0,0,0,0,0,880444.744,177437.631,83.2270926150934,16.7729073849066,2.52,2.31,0.21,55.5,57,54,82,27,39.622641509434,106,55,1,35.3613249596191,6.4707118928522
407,30.5,33,27,61.1604472801525,0.426965621863293,0,0,0,0.209422321589758,0,0,0,5.79851268146537,0,0,0.254690788212088,746878.558,324609.595,69.7047891671836,30.2952108328164,2.55,2.3,0.25,53,54,52,102,16,37.9056603773585,106,86,1,13.5461326001328,18.6038287065842
427,29.2027027027027,35,19,17.7787320423849,0.213568952391868,0,0,0,0,0.00165016714964828,0,0,0,0,0,0.956025235883508,879432.841,192211.929,82.0638392141829,17.9361607858171,2.63,2.45,0.18,51,51,51,160,37,80.0681818181818,132,123,1,9.26349394872575,71.7865296534643
426,30.6842105263158,33,27,16.2652343142554,0.548708912242522,0.528404888141969,0,0,0.156762288778587,0,0,0,0,0,0,0.221633677179472,825953.439,281181.645,74.6027698820535,25.3972301179465,2.58,2.31,0.27,50.5,51,50,79,21,39.25,96,58,1,16.1068623498303,66.1723935695718
430,32.5,35,30,46.635076030242,3.96420951832175,11.0345441825678,0,0,0,0,0,0,0,0,0,0,439508.376,420226.097,51.1214089701856,48.8785910298144,2.58,2.31,0.27,51,52,50,28,17,21.9090909090909,44,11,0,37.5712879115508,0.794882357317663
469,22.2256809338521,31,16,4.59759407091637,0.506975850598373,5.99635055325788,0,0,9.21813169415016,0,0,0,0.3070503422024,0,0,0,1064119.98,742946.03,58.886613666094,41.113386333906,3.3,2.77,0.53,52,52,52,144,25,61.2385321100917,218,119,1,19.0791180598207,60.2947794290541
472,14.8660714285714,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1059603.496,0,100,0,4.26,3.86,0.4,52,52,52,485,177,316.856164383562,146,308,3,0,100
471,17.6301369863014,27,11,1.36315173652575,0,0.137844898580713,0,0,1.33929837547193,0,0,0,0,0,0,0,1008935.396,62320.145,94.1825136379855,5.81748636201453,3.54,3.12,0.42,52,52,52,343,57,161.895061728395,162,286,3,2.47224699836519,94.6874579910564
470,25.6862745098039,31,20,1.32191464699399,0,0,0,0,2.72847538039508,0,0,0,0,0,0,0,821041.733,295745.491,73.5181881880124,26.4818118119876,3.25,2.81,0.44,52,52,52,155,42,89.6971830985916,142,113,1,3.93933865430329,92.0102713183076
429,32.030303030303,36,27,0,0,0,0,0,0,0,0,0,0,0,0,0.391768752159356,459881.293,0,100,0,2.78,2.46,0.32,51.5,52,51,83,43,57.34375,64,40,2,6.50493476835333,93.1032964794873
456,28.3636363636364,33,23,0,0.228961631828296,0,0,0,0,0,0,0,0,0.188053550536293,0,0,898750.4,35175.607,96.2335766713476,3.76642332865242,3.29,2.93,0.36,52,52,52,219,43,103.594202898551,138,176,1,26.3549145256901,73.2280702919453
298,31.1176470588235,34,28,11.9501663651362,0.226545582337632,0,0,0,0,0,0,0,0,0,0,0,659917.939,357034.79,64.8917024539495,35.1082975460504,2.91,2.36,0.55,50.5,52,49,98,34,51.3302752293578,109,64,1,9.43054597765646,78.3927420748696
297,28.8,32,26,7.51965629915223,0.116408337925352,0,0,0,0,0,0,0,0,0,0,0,1056522.748,0,100,0,3.72,2.84,0.88,50,51,49,292,51,142,151,241,3,1.4899921411784,90.873943221744
296,19.6518518518518,27,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1121527.288,0,100,0,4.7,3.73,0.97,50.5,51,50,569,185,374.337579617834,157,384,3,0,100
381,31.875,36,28,59.355127663446,0,0.354460444729771,0,0,0,0,0,0,0,0,0,0,229488.354,840780.276,21.4421265435015,78.5578734564985,2.54,2.24,0.3,52.5,54,51,92,28,42.9523809523809,63,64,0,40.2904118918243,0
418,32.0344827586207,36,28,65.6174249092542,2.95246118855718,4.3969018861676,0,0,0,0,0,0,6.22107076356986,0,0,0,773361.603,180453.714,81.0808538315809,18.9191461684191,2.58,2.3,0.28,51.5,52,51,77,14,29.28,75,63,1,14.2979074390758,6.51423381337534
383,31.1739130434783,36,27,62.5639541334304,0,0,0,0,0,0,0,0,5.85638548119126,0,0,0,940680.562,121606.386,88.5523976145097,11.4476023854903,2.54,2.29,0.25,53,54,52,106,24,60.1148648648649,148,82,1,9.96656934722148,21.613091038157
382,31.4137931034483,36,28,47.4112074077808,0,1.49585273418379,0,0,0,0,0,0,0,0,0,0,467200.008,548814.192,45.9836100715915,54.0163899284085,2.49,2.27,0.22,53.5,54,53,82,22,36.3974358974359,78,60,0,32.0976394341316,18.9953004239039
422,32.9,36,28,48.0409241664272,2.16492575028231,0,0,0,0,0,0,0,0,0,0,0,566637.789,439688.026,56.3075875182632,43.6924124817368,2.62,2.31,0.31,51.5,52,51,51,20,29.8765432098765,81,31,1,47.4761453850019,2.31800469828854
423,31.4193548387097,36,27,17.1664242040098,1.95110601953917,0,0,0,0.945782726949357,0.0528956576632085,0,0,0,0,0,0.233913489768964,699660.718,315784.656,68.9018568516321,31.0981431483679,2.65,2.38,0.27,51,51,51,111,26,57.0748299319728,147,85,1,10.4819861356495,69.16789176642
424,30.4878048780488,37,27,18.4911870774206,2.39934955255394,0,0,0,0.379615706456538,0.0158336055304741,0,0,0,0,0,0,1039143.646,17393.138,98.3537593519319,1.64624064806815,2.72,2.44,0.28,51,51,51,131,30,64.0138888888889,144,101,3,4.39513702445118,74.3188770335872
425,32.8571428571429,40,28,17.2347303976978,3.42109793327855,0,0,0,0.708563454815611,0.256113074195963,0,0,0.247591548771468,3.88175269521277,0,0.324250715265058,741410.95,286522.096,72.1263853599274,27.8736146400726,2.73,2.43,0.3,51.6666666666667,52,51,75,31,45.8359375,128,44,1,4.65691253974857,69.2689876410142
292,19.7362637362637,26,13,0,0,0,0.3474213179762,0,0,0,0,0,0,0,0,0,1232002.052,0,100,0,4.65,4.18,0.470000000000001,51,51,51,672,237,434.054945054945,182,435,3,0,99.6525786820237
461,18.9457364341085,26,11,0,0,0,0,0,0.147965629029161,0,0,0,0,0,0,0,1070884.001,0,100,0,3.88,3.59,0.29,52,52,52,505,117,300.1375,160,388,3,1.33858655797026,98.5134478130006
457,25.3361344537815,33,17,80.0049373776036,0,0,0,0,0.0817534024481486,0,0,0,0,0,0,0,936737.054,135768.113,87.3410294721685,12.6589705278315,3.27,2.88,0.39,52,52,52,112,31,58.985401459854,137,81,1,8.66340433470877,11.2499048852395
