FilmAni_tags,number,overlap_num,overlap_word
토르,76,18,"['토르라그나로크', '토르로키', '토르라그나로크로키', '토르망치', '토르스톰브레이커', '토르라그나로크발키리', '토르발키리', '미크로랍토르', '토르라그나로크톰히들스턴', '토르asmr', '토르라그나로크asmr', '토르영상', '토르톰히들스턴', '토르근황', '양아치토르', '톰히들스턴토르오디션', '토르오디션', '토르오디션영상']"
영화걸작선,76,1,['영화걸작선영화']
review,75,11,"['moviereview', 'moviereviews', 'preview', ""she'wthemanreview"", 'review;', 'filmreviews', 'devilmoviereview', 'dragonballsuper130preview', 'dragonballsuper131preview', 'badgeniusreview', 'mygoldenlifeep22preview']"
캡틴아메리카,75,2,"['캡틴아메리카방패', '아이언맨캡틴아메리카']"
토이,73,2,"['배틀토이', '헬로토이']"
신제품장난감팽이,73,0,[]
챌린저,73,0,[]
ベイブレ?ドバ?スト,73,0,[]
베이블레이드버스트대회,73,0,[]
배틀토이,73,0,[]
일본장난감,73,0,[]
배틀팽이,73,1,['3세대배틀팽이']
탑플레이트,73,0,[]
장난감배틀,73,0,[]
장난감싸움,73,0,[]
장난감팽이,73,1,['신제품장난감팽이']
전투팽이,73,0,[]
숙명의대결,73,0,[]
베이블레이드버스트대결,73,0,[]
3세대배틀팽이,73,0,[]
스릴러,71,15,"['스릴러영화', '스릴러영화추천', '스릴러소설', '스릴러공포영화', '스릴러공포', '스릴러드라마', '스릴러추천영화', '스릴러추천', '스릴러장르', '공포스릴러', '범죄스릴러영화', '스릴러공포영화추천', '스릴러리뷰', '스릴러명작', '스릴러명장면']"
욕설,71,1,['욕설개그']
해외영화,70,0,[]
빨강도깨비,70,0,[]
헬로카봇,69,12,"['헬로카봇시즌4', '헬로카봇시즌1', '헬로카봇시즌3', '헬로카봇시즌5', '헬로카봇시즌2', '헬로카봇시즌6', '헬로카봇오프닝', '헬로카봇노래', '헬로카봇시즌5전체보기', '헬로카봇5', '헬로카봇본편', '헬로카봇주제곡']"
demasian,68,0,[]
터닝메카드r,67,0,[]
dinomecard,67,0,[]
다이노메카드,67,0,[]
터닝메카드w,67,2,"['터닝메카드w2', '터닝메카드w오프닝']"
다이노,67,1,['다이노메카드']
소피루비,67,2,"['소피루비시즌2', '소피루비꿈의왕국']"
터닝메카드,67,10,"['터닝메카드r', '터닝메카드w', '터닝메카드공룡', '터닝메카드노래', '터닝메카드재방송', '터닝메카드다시보기', '터닝메카드w2', '터닝메카드마지막화', '터닝메카드w오프닝', '터닝메카드오프닝']"
공룡메카드,67,18,"['공룡메카드장난감', '공룡메카드다시보기', '공룡메카드배틀', '공룡메카드예고편', '공룡메카드본편', '공룡메카드4화', '공룡메카드2화', '공룡메카드1화', '공룡메카드6화', '공룡메카드3화', '공룡메카드7화', '공룡메카드22화', '공룡메카드19화', '제이공룡메카드19화', '공룡메카드노래', '공룡메카드주제곡', '공룡메카드알공룡', '공룡메카드신제품']"
헬로카봇시즌4,66,0,[]
헬로카봇시즌1,66,0,[]
헬로카봇시즌3,66,0,[]
헬로카봇시즌5,66,1,['헬로카봇시즌5전체보기']
헬로카봇시즌2,66,0,[]
일본만화,64,0,[]
공룡메카드장난감,64,0,[]
터닝메카드공룡,64,0,[]
공룡장난감,64,0,[]
영화명장면,64,2,"['일본영화명장면', '공포영화명장면']"
티비플,64,0,[]
캡쳐카,64,0,[]
소피루비시즌2,64,0,[]
소피루비꿈의왕국,64,0,[]
공룡,64,24,"['공룡메카드', '공룡메카드장난감', '터닝메카드공룡', '공룡장난감', '공룡메카드다시보기', '공룡메카드배틀', '공룡메카드예고편', '공룡메카드본편', '공룡이나타났다', '공룡메카드4화', '공룡메카드2화', '공룡메카드1화', '공룡메카드6화', '공룡메카드3화', '공룡메카드7화', '공룡메카드22화', '공룡메카드19화', '제이공룡메카드19화', '공룡메카드노래', '공룡노래', '공룡메카드주제곡', '공룡메카드알공룡', '공룡메카드신제품', '알공룡']"
naruto,64,2,"['narutogumi', 'narutoanalysis']"
리뷰엉이,62,0,[]
영화유튜브,60,0,[]
헤롤카봇시즌6,60,0,[]
스파이더맨,60,4,"['어메이징스파이더맨', '스파이더맨톰홀랜드', '스파이더맨홈커밍', '스파이더맨근황']"
액션,60,10,"['액션영화추천', '리액션tv', '액션영화', '홍콩액션', '액션무비', '액션드라마', '헐리웃액션', '액션영화의수작', '#애니액션씬', '#액션만화']"
시네마,58,4,"['반전시네마', '마블시네마틱유니버스', '총몇명의반전시네마', 'dc시네마틱유니버스']"
일본애니메이션,58,0,[]
오버워치,57,0,[]
블랙팬서,57,26,"['블랙팬서킬몽거', '블랙팬서채드윅보스만', '블랙팬서예고편', '블랙팬서리뷰', '마블블랙팬서', '블랙팬서후기', '블랙팬서와칸다소울', '블랙팬서근황', '블랙팬서인터뷰', '블랙팬서튜나', '삐맨블랙팬서', '블랙팬서티저', '블랙팬서이스터에그', '블랙팬서떡밥', '블랙팬서원작', '블랙팬서티져', '블랙팬서마블', '블랙팬서ost', '블랙팬서삐맨', '블랙팬서히어로코스프레', '블랙팬서부산', '블랙팬서망작', '블랙팬서소감', '블랙팬서출연진', '블랙팬서와칸다', '블랙팬서슈퍼히어로']"
리드무비,57,5,"['리드무비c', '리드무비독', '리드무비s', '리드무비에세이', '리드무비d']"
소개해주는남자,56,0,[]
marvel,56,4,"['marvelcomics', 'marvelentertainment', 'marvelmovie', ""marvelstudios'avengers""]"
맥시멈가루다,56,1,['플라잉맥시멈가루다']
공포영화,56,16,"['공포영화추천', '스릴러공포영화', '공포영화흥행', '공포영화베스트10', '공포영화명장면', '공포영화보기', '공포영화top', '공포영화full', '공포영화베스트', '공포영화시리즈', '공포영화리뷰', '공포영화다시보기', '공포영화다운', '공포영화순위', '공포영화줄거리', '스릴러공포영화추천']"
갓발키리,55,3,"['성기사갓발키리', '스트라이크갓발키리', '갓발키리완전체']"
사스케,55,2,"['우치하사스케', '나루토사스케']"
발키리,55,10,"['갓발키리', '발키리배틀', '로키가자기이름불러주는게제일좋았다는발키리', '토르라그나로크발키리', '토르발키리', '로키발키리', '위닝발키리', '성기사갓발키리', '스트라이크갓발키리', '갓발키리완전체']"
action,54,24,"['bleachreaction', 'actioncomedy', 'reaction', 'btsreaction', 'kpopreaction', 'parasytereaction', 'btsdnareaction', 'amareaction', 'bts(방탄소년단)dnaperformance2017americanmusicawardsama(reaction)', 'reactions', 'badgeniusreaction', 'finereaction', 'reactionmashup', 'wowreaction', 'hypereaction', 'reactionsmashup', 'bfgfreaction', 'btsrunreaction', 'btsrunep29reaction', 'btsreactions', 'mbcmusicfestivalreaction', '2017mbcmusicfestivalreaction', 'bts-dnaperformance@theamasreaction', 'btsdnaliveperformance2017americanmusicawardsamasreaction']"
랜덤부스터,54,2,"['랜덤부스터10', '랜덤부스터9']"
총몇명,54,3,"['총몇명곤지암', '곤지암총몇명', '총몇명의반전시네마']"
타이니소어,53,3,"['타이니소어의수수께끼', '사라진타이니소어', '타이니소어는누구의것']"
트리케라톱스,53,0,[]
onepiece,53,9,"['onepiece819', 'onepiece819englishsubfullepisode', 'onepiececapitulo819subespanol', 'onepieceepisode819englishsubbed', 'onepiece819engsub', 'onepieceepisode819', 'onepiece819subcompletohd', 'onepiece(comicbookseries)', 'onepieceepisode819hdsubbed']"
만해,52,2,"['블리치만해', '해방된만해']"
킬러데스사이저,52,0,[]
