Auto_tags,number,overlap_num,overlap_word
stinger,1,9,"['stingergt', 'stingerkia', 'kiastinger', '2018kiastingergt2', 'newkiastinger', 'kiastingergt', '2018kiastingergt', 'kiastingergt2', '2018kiastinger']"
kiastinger,1,6,"['2018kiastingergt2', 'newkiastinger', 'kiastingergt', '2018kiastingergt', 'kiastingergt2', '2018kiastinger']"
2018kiastingergt2,1,0,[]
biggamecommercial,1,0,[]
astateofmind,1,0,[]
newkiastinger,1,0,[]
kiastingergt,1,3,"['2018kiastingergt2', '2018kiastingergt', 'kiastingergt2']"
kiagt,1,0,[]
kiasportscar,1,0,[]
2018biggamead,1,0,[]
sportssedan,1,0,[]
2018kiastingergt,1,1,['2018kiastingergt2']
fueledbyyouth,1,0,[]
performancecar,1,0,[]
kiastingergt2,1,1,['2018kiastingergt2']
biggameadcommercial,1,0,[]
2018kiastinger,1,2,"['2018kiastingergt2', '2018kiastingergt']"
교통사고,1,5,"['교통사고보상제대로받기', '교통사고합의방법국과수교통사고합의하는방법교통사고합의나홀로소송금감원분심위구상청구소송', '부산교통사고', '쌍촌동무단횡단교통사고', '비접촉교통사고']"
crash,1,0,[]
몇대몇,1,0,[]
qm5,1,0,[]
코란도c,1,0,[]
정보미,1,0,[]
런앤드카,1,0,[]
k5,1,1,['k5중고']
sm5,1,0,[]
카렌스,1,0,[]
티볼리,1,0,[]
임팔라,1,0,[]
쏘나타후기,1,0,[]
대우,1,0,[]
맥스크루즈,1,0,[]
이준일,1,0,[]
뉴스,1,0,[]
경매장,1,0,[]
스파크,1,0,[]
그랜져,1,1,['그랜져중고']
k3,1,0,[]
추월,1,1,['추월단속']
라보,1,0,[]
좌회전,1,0,[]
사고,1,7,"['교통사고보상제대로받기', '교통사고합의방법국과수교통사고합의하는방법교통사고합의나홀로소송금감원분심위구상청구소송', '부산교통사고', '쌍촌동무단횡단교통사고', '비접촉교통사고', '중고차사고차', '교통사고']"
과속,1,0,[]
dashcam,1,0,[]
음주,1,0,[]
oms,1,0,[]
비보호,1,0,[]
클래시로얄와우wow월드오브워크래프트,1,0,[]
e63,1,1,['e63amg']
e63amg,1,0,[]
mercedes-amg,1,0,[]
김범훈,1,0,[]
mct9단미션,1,0,[]
범스모터스포츠,1,0,[]
mct,1,1,['mct9단미션']
차리뷰,1,1,['자동차리뷰']
