Politic_tags,number,overlap_num,overlap_word
국민의당,100,2,"['국민의당통합', '박근혜대통령보수대구태극기집회대한애국당조원진자한당홍준표문재인국민의당민심국회대한민국여론친박']"
국정원,99,16,"['국정원특활비', '국정원장', '최경환국정원', '국정원뇌물', '이철우국정원', '청와대국정원뇌물', '국정원특수활동비', '최경환국정원특활비', '남재준국정원장', '국정원박근혜', '국정원상납', '박근혜국정원', '박근혜국정원mb정부', '이명박박근혜국정원', 'mb국정원', '이명박.국정원.mbc']"
시진핑,97,10,"['문재인시진핑', '시진핑문재인', '시진핑난징대학살', '시진핑의무례', '시진핑특사방북', '시진핑특사', '시진핑특사쑹타오', '트럼프시진핑', '#문재인#대통령#국빈만찬#중국#시진핑#중국방문#김정숙', '#여사#문재인대통령#문재인시진핑#']"
시사,95,9,"['국민시사', '시사인', '시사토크', '정치시사', '시사대담', '시사토크쇼', '시사타파', '시사폭격', '시사전망대']"
정치,94,31,"['정치쇼', '정치뉴스', '정치보복', '정봉주의정치쇼', '이춘근의국제정치', '국제정치', '정치권', '정봉주정치쇼', '정치시사', '정치자금법', '정치알바', '정치수사', '정치압력', '정치9단주', '정치평론', '정치유튜브', '정치레전드', '정치이슈', '정치부회의', '정치호', '정치전망대', '정치공작', '정치9단', '박대통령조원진서울역태극기집회문화무죄이완구홍준표대한애국당정치자한당더불어민주유튜브박정희검찰법원', '구태정치', '김진의정치전망대', '김진의정치', '이동형정치수다', '민주정치9단', '쇼정치', '감성정치']"
태극기,94,8,"['태극기집회', '태극기부대', '태극기집회자금', '태극기세력', '태극기계좌', '태극기집회경찰', '박대통령조원진서울역태극기집회문화무죄이완구홍준표대한애국당정치자한당더불어민주유튜브박정희검찰법원', '박근혜대통령보수대구태극기집회대한애국당조원진자한당홍준표문재인국민의당민심국회대한민국여론친박']"
뉴스공장,93,9,"['김어준의뉴스공장', '김어준뉴스공장', '뉴스공장김어준', '뉴스공장공개방송', '뉴스공장전체', '뉴스공장보이는라디오', '뉴스공장실시간', '뉴스공장pd', '김어준의_뉴스공장']"
배현진,93,1,['배현진이']
jsa,93,10,"['jsa귀순', '북한jsa', 'jsa영상', 'jsa대대장', 'jsa중령', '문재인jsa', 'jsa귀순병', '긴박했던jsa귀순', 'jsa귀순북한군총격부상', 'jsa귀순병사']"
jtbc,91,10,"['jtbcnews', 'jtbclive', 'jtbc뉴스룸', 'jtbc태블릿pc', 'jtbc신년토론', '#손석희jtbc태블릿pc조작', '#손석희jtbc', 'jtbc뉴스', '2018jtbc신년토론회', 'jtbc태블릿']"
사드,91,5,"['중국사드', '사드반대', '사드중국', '사드갈등', '사드경제보복']"
바른정당,90,1,['도로바른정당']
손석희,90,21,"['손석희토론', '손석희태블릿pc', '손석희거짓말', '#손석희jtbc태블릿pc조작', '#손석희시청장의견조작', '#손석희변희재', '#손석희', '#손석희박근혜대통령', '#변희재손석희', '#손석희jtbc', '#손석희태블릿pc특검', '#손석희박근혜', '#손석희검찰', '#손석희변희재논문표절', '#손석희최순실', '#손석희태블릿pc', '손석희의저주', '변희재손석희의저주', '변희재손석희', '손석희평창동집', '손석희는항복하라']"
세월호,87,2,"['문재인세월호', '박근혜세월호']"
정미홍,84,2,"['정미홍방송', '정미홍신년사']"
일본,82,4,"['일본지진', '위안부일본사과', '미국일본', '트럼프한국일본']"
김진태,82,1,['김진태의원']
대통령,82,28,"['문재인대통령', '박근혜대통령', '박대통령무죄석방', '트럼프대통령', '문재인대통령중국', '대통령경호실', '문재인대통령방중', '이명박대통령', '#손석희박근혜대통령', '광화문대통령', '시리세나대통령', '대통령비서실장', '문대통령', '김대중대통령', '박근혜대통령새마을박정희미국캐나다문재인변희재서석구조원진대한애국당국회탄핵무효인권침해', '스리랑카대통령', '박대통령조원진서울역태극기집회문화무죄이완구홍준표대한애국당정치자한당더불어민주유튜브박정희검찰법원', '박근혜대통령보수대구태극기집회대한애국당조원진자한당홍준표문재인국민의당민심국회대한민국여론친박', '대통령기록물', '대통령탄원서', '문재인대통령스리랑카', '박근혜대통령국선변호인', '문재인대통령베트남', '미국대통령', '박정희대통령기념재단', '이명박전대통령', '#문재인#대통령#국빈만찬#중국#시진핑#중국방문#김정숙', '#여사#문재인대통령#문재인시진핑#']"
김어준뉴스공장,82,0,[]
정유라,82,9,"['정유라집', '정유라집습격', '정유라괴한', '정유라이씨', '정유라침입', '정유라괴한침입', '정유라강도', '정유라사는곳', '정유라습격']"
유승민,81,0,[]
김정민,80,4,"['김정민국제전략연구소', '김정민자연사박물관', '김정민박사', '김정민의국제관계']"
귀순,80,37,"['귀순병사', '귀순병', 'jsa귀순', '북한귀순병사', '귀순대대장', '귀순병사기생충', '귀순북한병사cctv', '귀순병사분변', '귀순북한병사', '귀순병사의식', '귀순cctv', '판문점귀순병사', '북한군귀순영상', '북산귀순병사cctv', '북한군귀순', '판문점귀순', '문재인귀순', '북한귀순', 'jsa귀순병', '목숨건귀순', '긴박했던jsa귀순', '귀순책임', '귀순용사', '귀순병의', ""귀순병의'아찔했던'그순간"", '귀순병사분석', '귀순병사가족', '귀순병사상태', '귀순병사개성', '귀순병사헌병', '귀순병사운전병', '귀순병사탈출', 'jsa귀순북한군총격부상', '북한군인귀순', '귀순병cctv영상보니', 'jsa귀순병사', '귀순시각']"
이재명,80,6,"['이재명시장', '이재명성남시장', '남경필이재명', '이재명토론', '이재명문재인', '이재명출연']"
신동호,79,0,[]
민주노총,79,0,[]
전쟁,79,11,"['러일전쟁', '한반도전쟁위기', '금융전쟁', '중일전쟁', '역사전쟁', '한반도전쟁', '전쟁의수수께끼', '전쟁고조', '전쟁위기', '예방전쟁', '핵전쟁']"
김장겸,79,1,['김장겸해임']
강경화,78,9,"['강경화장관', '강경화외교부장관', '강경화아베', '강경화의자', '강경화외무부장관', '강경화미군', '강경화영어', '강경화포스', '위안부강경화']"
전희경,77,0,[]
