SciTech_tags,number,overlap_num,overlap_word
fortnitesetup,2,0,[]
가전추천,2,0,[]
칼,2,0,[]
lg매직스페이스,2,0,[]
news,2,0,[]
아이폰,2,21,"['아이폰텐', '아이폰x', '아이폰x개봉기', '아이폰x리뷰', '아이폰x사용기', '아이폰8플러스', '아이폰10', '애플아이폰x언박싱', '아이폰x후기', '애플아이폰x리뷰', '아이폰x언박싱', '애플아이폰x', '애플아이폰x후기', '애플아이폰x사용기', '애플아이폰x개봉기', '아이폰엑스', '아이폰8플러스개봉기', '아이폰8플러스리뷰', '아이폰8플러스후기', '아이폰8플러스사용기', '아이폰8플러스언박싱']"
이모지,2,1,['동물이모지']
portraitlighting,2,0,[]
a11bionic,2,0,[]
동물이모지,2,0,[]
iphone10,2,0,[]
동물애니모티콘,2,0,[]
emoji,2,0,[]
faceid,2,0,[]
증강현실,2,0,[]
mining,2,0,[]
business,2,0,[]
investing,2,0,[]
inventionideas,2,0,[]
blockchainers,2,0,[]
iphone으로찍다,2,0,[]
trading,2,0,[]
#hoa,2,0,[]
learn,2,0,[]
altcoin,2,0,[]
daily,2,0,[]
developer,2,0,[]
coding,2,0,[]
politics,2,0,[]
로봇,2,2,"['로봇일자리', '인공지능로봇']"
economics,2,0,[]
intro,2,1,['introduction']
vlog,2,0,[]
introduction,2,0,[]
privacy,2,0,[]
인물사진조명,2,0,[]
bestfriend,2,0,[]
distributedledgers,2,0,[]
유발하라리,2,0,[]
일자리,2,4,"['로봇일자리', '인공지능일자리', '인공지능일자리문제', '일자리대체']"
호모데우스,2,0,[]
로봇일자리,2,0,[]
휴대폰아이디어,2,0,[]
뜨거운아교,2,0,[]
휴대전화,2,0,[]
phone,2,11,"['smartphone', 'iphonex', 'lgsmartphone', 'handphone', 'iphonexreview', 'iphonereview', 'iphone10', 'iphone으로찍다', 'mobilephone', 'ideasforphones', 'iphone']"
hotglue,2,0,[]
냉장고,2,1,['lg냉장고']
mobilephone,2,0,[]
발명아이디어,2,0,[]
전화,2,1,['휴대전화']
ideasforphones,2,0,[]
포켓몬go,2,0,[]
인공지능일자리,2,1,['인공지능일자리문제']
iphone,2,5,"['iphonex', 'iphonexreview', 'iphonereview', 'iphone10', 'iphone으로찍다']"
포켓몬고,2,0,[]
인공지능일자리문제,2,0,[]
인공지능로봇,2,0,[]
일자리대체,2,0,[]
베스트프렌드,2,0,[]
이모티콘,2,1,['동물이모티콘']
