Game_tags,number,overlap_num,overlap_word
모바일,78,23,"['모바일게임', '도티모바일게임', '모바일게임도티', '밍모모바일게임', '모바일게임밍모', '모바일모바일', '모바일게임크리에이터', '모바일아케이드', '모바일rush', '모바일러쉬', '블레이드앤소울모바일', '검은사막모바일', '검은사막모바일제이', '2018모바일게임', '모바일게임추천', '모바일배그', '배틀그라운드모바일', '모바일배틀그라운드', '모바일포토샵', '모바일도티', '도티모바일', '모바일겜', '모바일게임전문']"
tedtv,73,0,[]
mobile,72,3,"['mobilegame', '#mobilegame', 'freefiremobile']"
대도서관,72,1,['대도서관물고기']
양띵,69,1,['양띵tv삼성']
테드tv,68,0,[]
테드라이더,67,0,[]
비누,65,15,"['비누tv', '비누국', '비누라이더', '비누주작', '비누프리파이어', '비누프파', '비누국프리파이어', '비누국프파', '비누탈모', '비누클로', '좀비누', '비누형', '비누클래시로얄', '비누의주작신', '비누여동생']"
샌박,64,1,['샌박괴담']
라이더테드,64,0,[]
minecraftmod,64,1,['minecraftmodshowcase']
라이더고수,64,2,"['라이더고수300', '라이더고수1000']"
마크모드,63,3,"['마크모드스토리리뷰', '마크모드리뷰', '마크모드스토리']"
라이더최고기록,63,0,[]
라더,63,1,['빅브라더']
마인크래프트커맨드,61,0,[]
마인크래프트원커맨드,61,0,[]
rider게임,61,0,[]
키우기게임,61,1,['물고기키우기게임']
rider고수,61,0,[]
rider공략,61,0,[]
rider버그판링크,61,0,[]
riderlevel12,61,0,[]
연다,61,0,[]
rider12단계,61,0,[]
라이더게임,61,1,['밍모라이더게임']
ridergame,61,0,[]
rider버그판,61,1,['rider버그판링크']
키우기,60,9,"['키우기게임', '키우기버그판', '죠스키우기', '피라냐키우기', '물고기키우기', '샤크키우기', '상어키우기', '물고기키우기게임', '애키우기']"
라이더장인,60,0,[]
라이더시크릿,60,0,[]
buzzbean,60,0,[]
방송,60,11,"['머독방송', '러너방송', '꽃빈방송', '인터넷방송', '라이브방송', '우왁굳의게임방송', '조매력생방송', '버블파이터방송', '버블파이터방송중', '방송종료', '합동방송']"
라이더초고수,60,0,[]
대도,60,4,"['대도서관', '대도님', '대도서관물고기', '엉클대도']"
대도님,60,0,[]
마인크래프트커스텀npc,59,0,[]
마인크래프트커스텀커맨드,59,0,[]
마인크래프트모드쇼케이스,59,0,[]
모장,59,0,[]
포로,59,0,[]
minecraftmodshowcase,59,0,[]
mojang,59,0,[]
마인크래프트모드어드벤쳐,59,0,[]
라이더세계신기록,58,0,[]
pubg,56,0,[]
비누tv,56,0,[]
키우기버그판,55,0,[]
라이더자켓,55,0,[]
시크릿,55,1,['라이더시크릿']
라이더고수300,55,0,[]
라이더고수1000,55,0,[]
clashroyale,54,7,"['clashroyaleinvitational', 'clashroyalegame', 'clashroyalenewcard', 'clashroyalesupercell', 'clashroyalenewcards', 'clashroyalerascals', 'clashroyalerascal']"
비트캅,51,0,[]
60seconds!,51,1,['meteor60seconds!']
beatcop,51,0,[]
gettingoverit,51,0,[]
60초!,51,0,[]
항아리게임,51,0,[]
saurian,51,0,[]
사우리안,51,0,[]
좀비고,50,18,"['좀비고등학교', '좀비고크리스마스', '좀비고등학교콘텐츠', '좀비고공략', '도티좀비고', '좀비고이야기', '좀비고루리tv', '좀비고캐릭터이야기', '밍모좀비고등학교', '밍모좀비고', '좀비고디바이스정지', '좀비고밍모', '좀비고딥정', '좀비고등학교밍모', '도로시좀비고', '좀비고해킹', '좀비고사칭', '좀비고운영자']"
뜰로그,50,4,"['잠뜰뜰로그', '뜰로그잠뜰', '뜰로그실험', '뜰로그오마갓']"
클래시로얄도티,49,0,[]
하이라이트,48,17,"['레바하이라이트', '코미디나이트하이라이트', '도네하이라이트', '트위치하이라이트', '트위치핫클립하이라이트', '하이라이트영상', '트위치핫클립하이라이트모음', '하이라이트모음', '핫클립하이라이트모음', '트위치하이라이트모음', '노돌리하이라이트', '조매력하이라이트', '로복하이라이트', '우왁굳하이라이트', '윾짱하이라이트', '숑아하이라이트', '트위치하이라이트영상']"
웃긴,48,15,"['웃긴영상', '웃긴레전드영상', '웃긴동물', '웃긴고양이', '웃긴영상모음', '웃긴동물영상모음', '웃긴고양이와강아지', '개웃긴영상', '웃긴강아지', '고양이웃긴영상', '웃긴개와고양이', '웃긴개', '강아지웃긴영상', '웃긴동물영상', '웃긴앵무새']"
허팝,46,1,['허팝게임']
영상,43,33,"['웃긴영상', '웃음참기동영상', '웃음참기영상', '웃긴레전드영상', '사무실영상', '영상편집', '재밌는영상', '웃긴영상모음', '하이라이트영상', '심플한영상리뷰', '메탈킴리뷰영상', '김재원배틀넷영상', '김재원영상', '김재원오버워치영상', '동영상', '웃긴동물영상모음', '힐링영상', '개웃긴영상', '볼만한영상', '고양이웃긴영상', '동물영상', '귀여운동물영상', '강아지웃긴영상', '웃긴동물영상', '영상공모전', '영상무전기', '영상통화무전기', 'vr영상', '트위치하이라이트영상', '기분좋아지는영상', '영상통화', '동시영상통화', '영상통화앱']"
twitch,43,2,"['www.twitch.tv', 'twitchtv']"
파파독,42,1,['파파독클럽']
riderhighscore,42,0,[]
라이더200,42,1,['라이더200점']
rider300,42,0,[]
rider200,42,0,[]
라이더300,42,1,['라이더300점']
병맛게임,41,0,[]
vlog,39,3,"['잠뜰vlog', 'vlog잠뜰', '도티vlog']"
블리자드,37,3,"['블리자드엔터테인먼트', '김재원블리자드본사', '김재원블리자드']"
마크,37,16,"['마크모드', '마크에이지', '마크에이지4', '마크에이지리턴즈', '마크상황극', '마크잉여맨', '마크럭키블럭', '마크도티', '삼식마크', '마크모드스토리리뷰', '마크모드리뷰', '마크미니게임', '마크삼식', '마크모드스토리', '마크패러디', '마크신과함꼐']"
클래시로얄전설상자,36,0,[]
클로,36,8,"['클로얄', '클로얄버그판', '클로얄버그', '클래시로얄버그판.클로얄핵', '클로얄클랜상자', '클로얄전설상자', '클로얄신규카드', '비누클로']"
스팀,35,2,"['스팀게임', '스페이스팀']"
배그,34,13,"['병맛배그', '배그바다', '배그화염병', '배그석궁', '배그공략', '배그운전', '김블루배그', '배그김블루', '배그한국인', '배그한국', '모바일배그', '프리파이어배그', '배그장인']"
신작,34,1,['신작게임']
머독,33,1,['머독방송']
말이야,33,1,['말이야와게임들']
풍월량,33,3,"['트위치로옮긴풍월량', '풍월량빵터짐', '풍월량수다']"
papadog,32,1,['papadogclub']
supercell,32,4,"['clashroyalesupercell', 'supercellrascals', 'newcardsupercell', 'supercellgame']"
도도한친구들,32,0,[]
앙빅,32,1,['앙빅하는만화']
눈표범,31,0,[]
클래시로얄광고,31,0,[]
울산큰고래,31,3,"['울산큰고래라디오', '라디오울산큰고래', '울산큰고래노가리']"
