fid,avg_tmp,max_tmp,min_tmp,상업/업무지(도시)_비율,도로(도시)_비율,일반주택지(도시)_비율,교육/군사시설(도시)_비율,유원지(임지)_비율,공공용지(도시)_비율,인공녹지(도시)_비율,하천(수계)_비율,고층주택지(도시)_비율,공업시설(도시)_비율,침엽수림(임지)_비율,암벽/석산(임지)_비율,미경지정리답(농지)_비율,보통/특수작물(농지)_비율,처리장(도시)_비율,저수지/늪(수계)_비율,자연초지(임지)_비율,발전시설(도시)_비율,공업나지(도시)_비율,인공초지(임지)_비율,경지정리답(농지)_비율,활엽수림(임지)_비율,철로(도시)_비율,골프장(임지)_비율,혼합수림(임지)_비율,가축/사육시설(도시)_비율,공원묘지(임지)_비율,과수원(농지)_비율,매립지(도시)_비율,순수양호_비율,순수불량_비율,80m_wind_speed,10m_wind_speed,difference_wind,avg_dust_10,max_dust_10,min_dust_10,max_ele,min_ele,avg_ele,num_ele,diff_ele,label
185,21.9125,29,15,1.5488009153075302,94.3491045111081,0.8451436527321109,0.275010889160623,0.0,0.0207106182655374,0.0701895682702025,0.0,2.82958169825641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0614581468994821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.4472931116985,62.55270688830149,0.2749999999999998,0.24017467248908286,0.39316239316239304,0.4571428571428573,0.44444444444444464,0.5,0.061166429587482224,0.03666666666666667,0.032681561325696,0.42035398230088494,0.07129455909943716,0
126,29.5084745762712,34,26,0.0,82.9717795209937,0.5364233752083211,0.0,0.0,0.8410690716521229,0.0797067784861457,7.299107158420769,0.398130119637334,0.0,5.658356864892981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.103159005277005,0.0,0.0,0.0,2.11226810543161,0.0,0.0,60.7468633398042,39.2531366601958,0.2928571428571428,0.27510917030567683,0.36752136752136744,0.5428571428571431,0.6666666666666665,0.4444444444444442,0.13229018492176386,0.03,0.06952203681680255,0.5442477876106194,0.16885553470919326,1
103,24.7518248175182,34,16,1.77545467386879,95.8986821110395,2.10205930183232,0.0,0.0,0.223803913259412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.9246107566899,34.075389243310106,0.2607142857142858,0.2358078602620085,0.36752136752136744,0.34285714285714297,0.3333333333333335,0.38888888888888884,0.06401137980085349,0.05333333333333334,0.051733511830455485,0.4026548672566372,0.06566604127579738,1
164,30.5,34,27,0.16570476143431698,89.107366721567,1.3289990587448102,0.303170873244038,0.0,0.862697691504917,0.0058138529766010895,0.285466537255963,2.63197416113836,0.0,4.91468893454055,0.0,0.0,0.0,0.368138360193425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0259790473999743,0.0,0.0,0.0,0.0,0.0,0.0,68.75803232618671,31.2419676738133,0.2607142857142858,0.26637554585152834,0.30769230769230754,0.7714285714285718,0.9444444444444446,0.6111111111111112,0.06258890469416786,0.016666666666666666,0.03420032729497701,0.3230088495575221,0.08442776735459663,1
267,30.421052631579,36,26,0.6825741244676651,73.30064479936709,14.715309580929599,0.31634148587958,0.0,0.0,0.223210257426061,0.276624446452327,0.190884684670836,0.0,2.39892022990033,0.0,0.628843328527617,3.22816436745281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.87529005642962,0.0,0.0,0.0,0.163192638496488,0.0,0.0,0.0,62.3388816355062,37.6611183644938,0.1071428571428571,0.1266375545851527,0.21367521367521355,0.6000000000000001,0.5555555555555554,0.6666666666666665,0.13798008534850642,0.08333333333333334,0.0843777936925856,0.7522123893805309,0.14634146341463417,1
229,30.7,35,27,0.287099788020275,93.5966312791547,0.649257160063604,0.143045098454487,0.0,0.498081964106229,0.21041589945931505,1.84178848250049,1.1377388152332,0.0,0.0,0.0,0.0,0.0,0.9709035870226992,0.0,0.6650379259850501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.20705789848179,1.79294210151823,0.22857142857142854,0.17903930131004342,0.4017094017094016,0.6571428571428575,0.6666666666666665,0.6666666666666665,0.018492176386913226,0.016666666666666666,0.01705689667090024,0.336283185840708,0.026266416510318948,1
209,31.5,36,27,0.473383233813081,94.277726095647,0.27842815736804905,0.0541791931190672,0.0,0.584722519994312,0.0855688607917731,1.2582666766902,2.34443016524131,0.0,0.0,0.0,0.0,0.0,0.29686508707215503,0.0,0.304317786240784,0.0,0.0,0.0,0.0,0.0,0.0,0.0421122240222719,0.0,0.0,0.0,0.0,0.0,44.6489248553103,55.3510751446897,0.22499999999999998,0.17467248908296928,0.4017094017094016,0.5142857142857142,0.5,0.5555555555555554,0.018492176386913226,0.016666666666666666,0.017370424421618853,0.27433628318584075,0.026266416510318948,0
230,31.46875,36,28,0.417836497980197,94.4867666188101,2.43937947398692,0.167507823463076,0.0,0.247951026676876,0.29298165065059995,1.16283436338778,0.0389856224950483,0.0,0.0,0.0,0.0,0.0,0.2907226335161789,0.0,0.455034289033225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.82519952275551,0.174800477244513,0.2392857142857142,0.18340611353711778,0.4188034188034187,0.7142857142857144,0.6666666666666665,0.7777777777777777,0.017069701280227598,0.02,0.0165818876133879,0.3274336283185841,0.022514071294559096,1
251,33.0810810810811,38,29,1.88178482851642,93.913803660672,1.12511256834695,0.913450898179662,0.0,0.0,0.105329960174202,0.0,2.01637474852349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0441433355873313,53.3484019134659,46.6515980865341,0.19999999999999984,0.15283842794759817,0.3846153846153845,0.6285714285714286,0.5555555555555554,0.7222222222222219,0.0384068278805121,0.04666666666666667,0.03709559045869693,0.30973451327433627,0.03564727954971857,0
252,25.008695652173905,32,19,1.28488493384901,89.45419778802722,2.2545740271934904,1.93513622207046,0.0,1.0620792019522098,0.7280865942303879,0.0,1.64890259186369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5340163376980098,0.0,0.0,0.0,0.0,0.0,0.0,0.0981223031154947,79.47366832084171,20.5263316791583,0.15357142857142858,0.13973799126637554,0.299145299145299,0.6000000000000001,0.5555555555555554,0.6666666666666665,0.05832147937411096,0.07,0.06465131069866431,0.4778761061946903,0.048780487804878044,1
