emd_kor_nm,emd_cd,max_tmp,avg_tmp
가산동,11545101,34,30.962962962962962
장지동,11710109,39,32.78787878787879
자곡동,11680112,37,31.178807947019866
양재동,11650102,37,25.522184300341298
독산동,11545102,36,25.928571428571427
우면동,11650103,35,23.573076923076922
남현동,11620103,31,19.757731958762886
율현동,11680113,39,32.076388888888886
내곡동,11650109,34,24.68312101910828
세곡동,11680111,38,31.6231884057971
염곡동,11650110,32,23.441314553990612
시흥동,11545103,34,23.482222222222223
원지동,11650104,35,25.75103734439834
신원동,11650111,34,24.175
